span	freq	ascii_variant	contexts
Blessed One	831	Blessed One	Thus have I heard: On one occasion the Blessed One was living on Isigili mountain near Raj | ," replied those monks in assent to the Blessed One. | Once the Blessed One was staying at Savatthi , in Jeta's Gro
There	328	There	this Vebhara mountain?" "Yes, bhante." "There was another name, monks, for this Vebha | this Pandava mountain?" "Yes, bhante." "There was another name, monks, for this Panda | this Vepulla mountain?" "Yes, bhante." "There was another name, monks, for this Vepul
Ven	279	Ven	thout grasping at it." Now at that time Ven. | LongNails (Dighanakha) was a nephew of Ven. | The Burmese and PTS editions say that Ven.
When	257	When	"When in the monk who thus knows that covetou | "When he has given up, renounced, let go, aba | "When he knows and sees [15] in this way, his
Then	214	Then	he truth of suffering has been given." "Then, in comprehending the origin of that su | "Then there are some brahmans & contemplative | ng, 'This is just right for striving.' "Then these three similes — spontaneous, neve
Master Gotama	212	Master Gotama	poke to the Blessed One thus: "But does Master Gotama go to the Bahuka River to bathe?" "What | What can the Bahuka River do?" "Truly, Master Gotama, many people believe that the Bahuka Ri | Bharadvaja spoke thus: " Magnificent , Master Gotama!
Tathagata	205	Tathagata	In the Tathagata, Aggivessana, the fermentations that de | further growth, in the same way in the Tathagata the fermentations that defile, that lea | d on arrival say this: 'Lord, would the Tathagata say words that are unendearing & disagr
What	198	What	tama go to the Bahuka River to bathe?" "What good, brahman, is the Bahuka River? | strength, fortify it, and fatten it." "What they earlier abandoned, Aggivessana, th | So the Blessed One said to the prince, "What do you think, prince: If this young boy
Now	191	Now	I'll produce heat.' Now what do you think? | I'll produce heat.' Now what do you think? | I'll produce heat.' Now what do you think?
If	165	If	"If, monks, a monk of such virtue, such con | conceit, (14) arrogance, (15) vanity." If, in the last group of terms, covetousne | you will survive on that.' I thought, 'If I were to claim to be completely fastin
Unbinding	162	Unbinding	direct knowledge, to Awakening, nor to Unbinding, but only to reappearance in the dimens | direct knowledge, to Awakening, nor to Unbinding, but only to reappearance in the dimens | ding of craving; dispassion; cessation; Unbinding." Thus it is important to focus on how t
Gotama	129	Gotama	as occurred to me that the disciples of Gotama the contemplative live committed to the | "Devas, on seeing me, said, 'Gotama the contemplative is dead.' Other devas | "People on seeing me would say, 'Gotama the contemplative is black.' Other peop
Brahma	120	Brahma	ver they arise, up to the level of the (Brahma heaven of the) Pure Abodes, it is first | ..the Paranimmitavasavatti devas or the Brahma world?" "Did Master Sariputta say, 'Bra | hma world?" "Did Master Sariputta say, 'Brahma world'?
Monks	115	Monks	There he addressed the monks thus: "Monks." — "Venerable sir," they replied. | "Monks, suppose a cloth were stained and dirty | "Monks, suppose a cloth were clean and bright,
Blessed One's	106	Blessed One's	in the Sangha thus: 'The Sangha of the Blessed One's disciples has entered on the good way, | ht types of persons; this Sangha of the Blessed One's disciples is worthy of gifts, worthy of | antha, delighting in & approving of the Blessed One's words, got up from his seat and left.
Lord	99	Lord	contemplative and on arrival say this: 'Lord, would the Tathagata say words that are | ting there he said to the Blessed One, "Lord, would the Tathagata say words that are | contemplative and on arrival say this: "Lord, would the Tathagata say words that are
Savatthi	96	Savatthi	Once the Blessed One was staying at Savatthi , in Jeta's Grove, Anathapindika 's mon | occasion the Blessed One was staying in Savatthi , at Jeta's Grove, Anathapindika's park | : At one time the Lord was staying near Savatthi in the palace of Migara's mother in the
Aggivessana	84	Aggivessana	the body." "But what have you learned, Aggivessana, about the development of the body?" "T | regulating their intake of food." "But, Aggivessana, do they survive just on that?" "No, Ma | tten it." "What they earlier abandoned, Aggivessana, they later gather up.
Ananda	84	Ananda	Sariputta." "Very good, Ananda. | enerable Samiddhi went to the venerable Ananda and exchanged greetings with him, and w | n he had done so, he told the venerable Ananda all his conversation with the wanderer
Buddha's	71	Buddha's	familiar in claiming to know about the Buddha's personal attainments, even though his c | ka is here implying that the reason the Buddha's mind has not been invaded by pleasant o | g to do with any special quality of the Buddha's mind.
Sariputta	65	Sariputta	companions in the holy life know me as Sariputta." "What? | "Drink some of this fresh milk, master Sariputta. | into hell, hell-wardens!'?" "No, master Sariputta.
Just	64	Just	[11] "Just as cloth that is stained and dirty beco | , lord, the Niganthas are destroyed'?" "Just yesterday, lord, I went to Nigantha Nat | na the brahman spoke thus to the Lord: "Just as, good Gotama, in this palace of Miga
Mara	60	Mara	m who knows: What's within the reach of Mara , And also what's beyond his reach. | ion by a recluse or brahmana or Deva or Mara or Brahma or by anyone in the world. | the body is not developed, not pursued, Mara gains entry, Mara gains a foothold.
Furthermore	59	Furthermore	"Furthermore, a person of no integrity goes forth fr | "Furthermore, a person of no integrity is well-known | "Furthermore, a person of no integrity is one who ga
Jeta's Grove	56	Jeta's Grove	lessed One was staying at Savatthi , in Jeta's Grove, Anathapindika 's monastery. | lessed One was staying in Savatthi , at Jeta's Grove, Anathapindika's park . | grass, twigs, branches & leaves here in Jeta's Grove, would the thought occur to you, 'It's
Awakening	54	Awakening	Before my Awakening, when I was still an unawakened Bodhisa | n, to stilling, to direct knowledge, to Awakening, nor to Unbinding, but only to reappear | n, to stilling, to direct knowledge, to Awakening, nor to Unbinding, but only to reappear
Whatever	54	Whatever	"I thought: 'Whatever brahmans or contemplatives in the past | g to me; a part is not pleasing to me': Whatever is pleasing to them, their view is clos | se the dustless, stainless Dhamma eye: "Whatever is subject to origination is all subjec
Having	53	Having	Sub.Comy.: "Having known it either through the incipient w | Comy.: "Having shown the non-returner's meditation on | "Having gone forth in search of what might be s
How	53	How	The thought occurred to me: 'How delightful is this countryside, with it | rm [3] in this Doctrine & Discipline?" "How could he be, lord? | to the further shore, he might think, 'How useful this raft has been to me!
It's	53	It's	would call that dwelling in delusion." "It's not to that extent that one is deluded | the Nigantha said to the Blessed One: "It's amazing, Master Gotama. | s, much despair, & greater drawbacks." "It's good, monks, that you understand the Dh
Others	52	Others	evas said, 'He isn't dead, he's dying.' Others said, 'He's neither dead nor dying, he' | contemplative isn't black, he's brown.' Others would say, 'Gotama the contemplative is | as Wielding Power over the Creations of Others, it is possible that one — with the bre
Suppose	52	Suppose	"I thought: 'Suppose that I, clenching my teeth and pressing | "I thought: 'Suppose I were to become absorbed in the trance | is the way arahants live.' "I thought: 'Suppose I were to practice going altogether wit
These	48	These	"These and others are paccekabuddhas of great | tunate in accordance with their kamma: 'These beings — who were endowed with bad cond | "These are the four kinds of kamma proclaimed
Inconstant	47	Inconstant	nks — Is form constant or inconstant?" "Inconstant, lord." "And is that which is inconstan | ...Is feeling constant or inconstant?" "Inconstant, lord."... | Is perception constant or inconstant?" "Inconstant, lord."...
My	46	My	ing to the cessation of fermentations.' My heart, thus knowing, thus seeing, was r | ay are discerned, it would follow that 'My self arises & falls away.' That's why i | ay are discerned, it would follow that 'My self arises & falls away.' That's why i
