person_name,aliases,ref,verse_count
Ajita Kesakambalin,,DN 16,1
Ajita Kesakambalin,,DN 2,4
Ajita Kesakambalin,,MN 30,1
Ajita Kesakambalin,,SN 1.3,1
Akkosaka Bharadvaja,Akkosaka|Akkosa Bharadvaja|Bharadvaja|Venerable Akkosa Bharadvaja|Venerable Bharadvaja,AN 49.7,2
Akkosaka Bharadvaja,Akkosaka|Akkosa Bharadvaja|Bharadvaja|Venerable Akkosa Bharadvaja|Venerable Bharadvaja,MN 116,2
Akkosaka Bharadvaja,Akkosaka|Akkosa Bharadvaja|Bharadvaja|Venerable Akkosa Bharadvaja|Venerable Bharadvaja,MN 7,5
Akkosaka Bharadvaja,Akkosaka|Akkosa Bharadvaja|Bharadvaja|Venerable Akkosa Bharadvaja|Venerable Bharadvaja,MN 95,13
Akkosaka Bharadvaja,Akkosaka|Akkosa Bharadvaja|Bharadvaja|Venerable Akkosa Bharadvaja|Venerable Bharadvaja,SN 11.7,8
Akkosaka Bharadvaja,Akkosaka|Akkosa Bharadvaja|Bharadvaja|Venerable Akkosa Bharadvaja|Venerable Bharadvaja,SN 127.35,5
Akkosaka Bharadvaja,Akkosaka|Akkosa Bharadvaja|Bharadvaja|Venerable Akkosa Bharadvaja|Venerable Bharadvaja,SN 17.7,2
Akkosaka Bharadvaja,Akkosaka|Akkosa Bharadvaja|Bharadvaja|Venerable Akkosa Bharadvaja|Venerable Bharadvaja,SN 18.7,2
Akkosaka Bharadvaja,Akkosaka|Akkosa Bharadvaja|Bharadvaja|Venerable Akkosa Bharadvaja|Venerable Bharadvaja,SN 2.7,9
Akkosaka Bharadvaja,Akkosaka|Akkosa Bharadvaja|Bharadvaja|Venerable Akkosa Bharadvaja|Venerable Bharadvaja,SN 6.7,3
Akkosaka Bharadvaja,Akkosaka|Akkosa Bharadvaja|Bharadvaja|Venerable Akkosa Bharadvaja|Venerable Bharadvaja,Sn 1.4,8
Alara Kalama,,DN 16,4
Alara Kalama,,MN 26,5
Alara Kalama,,MN 36,4
Alavaka,Alavika,SN 1.5,8
Alavaka,Alavika,SN 12.10,16
Alavaka,Alavika,Sn 1.10,16
Ambapali,,DN 16,12
Anathapindika,Anāthapiṇḍika,AN 1.11,1
Anathapindika,Anāthapiṇḍika,AN 1.9,1
Anathapindika,Anāthapiṇḍika,AN 105.3,1
Anathapindika,Anāthapiṇḍika,AN 16.11,1
Anathapindika,Anāthapiṇḍika,AN 176.5,1
Anathapindika,Anāthapiṇḍika,AN 179.5,1
Anathapindika,Anāthapiṇḍika,AN 20.9,1
Anathapindika,Anāthapiṇḍika,AN 28.5,1
Anathapindika,Anāthapiṇḍika,AN 37.6,1
Anathapindika,Anāthapiṇḍika,AN 41.5,1
Anathapindika,Anāthapiṇḍika,AN 41.8,1
Anathapindika,Anāthapiṇḍika,AN 43.5,1
Anathapindika,Anāthapiṇḍika,AN 45.4,1
Anathapindika,Anāthapiṇḍika,AN 48.10,1
Anathapindika,Anāthapiṇḍika,AN 49.5,2
Anathapindika,Anāthapiṇḍika,AN 49.6,1
Anathapindika,Anāthapiṇḍika,AN 51.10,1
Anathapindika,Anāthapiṇḍika,AN 51.3,1
Anathapindika,Anāthapiṇḍika,AN 51.5,1
Anathapindika,Anāthapiṇḍika,AN 52.3,1
Anathapindika,Anāthapiṇḍika,AN 60.10,2
Anathapindika,Anāthapiṇḍika,AN 62.4,1
Anathapindika,Anāthapiṇḍika,AN 67.4,2
Anathapindika,Anāthapiṇḍika,AN 69.10,1
Anathapindika,Anāthapiṇḍika,AN 70.10,1
Anathapindika,Anāthapiṇḍika,AN 71.10,1
Anathapindika,Anāthapiṇḍika,AN 71.3,1
Anathapindika,Anāthapiṇḍika,AN 92.10,1
Anathapindika,Anāthapiṇḍika,AN 93.10,9
