 PERSON | aggivessana                | Aggivessana                |   84
 PERSON | cunda                      | Cunda                      |   84
 PERSON | mahanama                   | Mahanama                   |   52
 PERSON | lohicca                    | Lohicca                    |   46
 PERSON | potthapada                 | Potthapada                 |   41
 PERSON | brahmas                    | Brahmas                    |   39
 PERSON | venerable nagasena         | Venerable Nagasena         |   33
 PERSON | ven. anuruddha             | Ven. Anuruddha             |   32
! PERSON | arahant                    | Arahant                    |   31, Note: should be NORP
 PERSON | bhaddiya                   | Bhaddiya                   |   31
 PERSON | master ananda              | Master Ananda              |   30
 PERSON | punna                      | Punna                      |   29
 PERSON | tissa                      | Tissa                      |   29
 ! PERSON | venerable sir              | Venerable Sir              |   28, ??
 PERSON | nigantha nataputta         | Nigantha Nataputta         |   27
 PERSON | vaccha                     | Vaccha                     |   27
 PERSON | rightly self-awakened one  | Rightly Self-Awakened One  |   26 -- this is ok
 PERSON | kali                       | Kali                       |   24
 PERSON | meghiya                    | Meghiya                    |   24
 LOC    | brahma worlds              | Brahma worlds              |   23
 PERSON | master ratthapala          | Master Ratthapala          |   22
 PERSON | godha                      | Godha                      |   20
 PERSON | kasi bharadvaja            | Kasi Bharadvaja            |   20
 PERSON | ven. maha kotthita         | Ven. Maha Kotthita         |   20
 PERSON | ven. rahula                | Ven. Rahula                |   20
 PERSON | venerable nanda            | Venerable Nanda            |   20
 PERSON | khemaka                    | Khemaka                    |   19
 PERSON | potaliputta                | Potaliputta                |   19
 PERSON | queen mallika              | Queen Mallika              |   19
! PERSON | tathagatas                 | Tathagatas                 |   19,  Note, should be a NORP
 PERSON | vedehika                   | Vedehika                   |   19
 PERSON | samiddhi                   | Samiddhi                   |   18
 PERSON | vacchagotta                | Vacchagotta                |   18
 PERSON | ven. maha kaccana          | Ven. Maha Kaccana          |   18
 ! LOC    | brahma                     | Brahma                     |   17, should be PERSON
 LOC    | brahma world               | Brahma world               |   17
 LOC    | jeta grove                 | Jeta Grove                 |   17
! PERSON | noble one                  | Noble One                  |   17, should be NORP
 PERSON | punnaka                    | Punnaka                    |   17
 PERSON | ven. samiddhi              | Ven. Samiddhi              |   17
 GPE    | saavatthii                 | Saavatthii                 |   16
