 label  |             norm             |       example_surface        | freq 
--------+------------------------------+------------------------------+------
 PERSON | cunda                        | Cunda                        |   89
 PERSON | aggivessana                  | Aggivessana                  |   85
 PERSON | bhaddiya                     | Bhaddiya                     |   54
 PERSON | mahanama                     | Mahanama                     |   52
 PERSON | nagasena                     | Nagasena                     |   49
 PERSON | anuruddha                    | Anuruddha                    |   48
 PERSON | lohicca                      | Lohicca                      |   47
 PERSON | samiddhi                     | Samiddhi                     |   46
 PERSON | meghiya                      | Meghiya                      |   46
 PERSON | rahula                       | Rahula                       |   44
 PERSON | potthapada                   | Potthapada                   |   42
 PERSON | maha kassapa                 | Ven. Maha Kassapa            |   40
 PERSON | tissa                        | Tissa                        |   37
 PERSON | punna                        | Punna                        |   36
 PERSON | khemaka                      | Khemaka                      |   35
 PERSON | vaccha                       | Vaccha                       |   31
 PERSON | arahant                      | Arahant                      |   31
 PERSON | sir                          | Ven. Sir                     |   30
 PERSON | brahmas                      | Brahmas                      |   27
 PERSON | nigantha nataputta           | Nigantha Nataputta           |   27
 PERSON | noble one                    | Noble One                    |   25
 LOC    | brahma worlds                | Brahma worlds                |   25
 PERSON | kali                         | Kali                         |   25
 PERSON | maha kotthita                | Maha Kotthita                |   24
 PERSON | tathagatas                   | Tathagatas                   |   22
 PERSON | vedehika                     | Vedehika                     |   21
 PERSON | prince jayasena              | Prince Jayasena              |   21
 PERSON | godha                        | Godha                        |   20
 PERSON | uttara                       | Uttara                       |   20
 PERSON | kasi bharadvaja              | Kasi Bharadvaja              |   20
 PERSON | yamaka                       | Ven. Yamaka                  |   20
 PERSON | udayi                        | Udayi                        |   20
 PERSON | girimananda                  | Girimananda                  |   19
 PERSON | potaliputta                  | Potaliputta                  |   19
 PERSON | queen mallika                | Queen Mallika                |   19
 PERSON | punnaka                      | Punnaka                      |   19
 PERSON | nagita                       | Nagita                       |   18
 PERSON | bhumija                      | Bhumija                      |   18
 PERSON | vacchagotta                  | Vacchagotta                  |   18
 PERSON | malunkyaputta                | Malunkyaputta                |   18
 LOC    | jeta grove                   | Jeta Grove                   |   17
 PERSON | kamabhu                      | Ven. Kamabhu                 |   17
 PERSON | sunidha                      | Sunidha                      |   17
