              norp              | freq 
--------------------------------+------
 brahmans                       |  634
 noble ones                     |  577
 brahman                        |  567
 bhikkhus                       |  546
 devas                          |  529
 Monks                          |  488
 contemplatives                 |  453
 householder                    |  381
 Sangha                         |  304
 monks                          |  256
 deva                           |  177
 Bhikkhus                       |  155
 recluses                       |  151
 householders                   |  136
 wanderers                      |  120
 arahants                       |  119
 brahmins                       |  102
 noble disciple                 |  100
 Noble Ones                     |   97
 wanderer                       |   97
 Devas                          |   90
 contemplative                  |   85
 ascetic                        |   69
 asuras                         |   68
 Sakyans                        |   67
 devata                         |   61
 monk                           |   61
 hungry shades                  |   59
 Mallans                        |   52
 Brahman                        |   51
 Mallas                         |   51
 Kalamas                        |   50
 ascetics                       |   50
 Sakyan                         |   46
 gods                           |   43
 kings                          |   42
 Niganthas                      |   41
 Maras                          |   39
 Buddhas                        |   38
 noble warrior                  |   37
 noble warriors                 |   37
 Brahmas                        |   35
 Kosalans                       |   33
 yakkha                         |   33
 Brahmans                       |   32
 Licchavis                      |   32
 Yakkhas                        |   32
 nobles                         |   32
 nuns                           |   29
 seers                          |   29
 Four Great Kings               |   27
 nymphs                         |   27
 sectarians                     |   27
 brahmin                        |   25
 Sakyan-son contemplatives      |   24
 devatas                        |   24
 lay followers                  |   24
 Koliyan                        |   21
 brahmas                        |   20
 royal ministers                |   20
 Householder                    |   19
 brahman seers                  |   17
 naga                           |   17
 Arahants                       |   15
 Vasetthas                      |   15
 demons                         |   15
 Asuras                         |   14
 Vulture-Killers                |   14
 Yakkha                         |   14
 Koliyans                       |   13
 Nagas                          |   13
 Householders                   |   12
 Kurus                          |   12
 Magadhans                      |   12
 gandhabba                      |   12
 maras                          |   12
 Bhaggas                        |   11
 brahman householders           |   11
 merchant                       |   11
 female lay followers           |   10
 lay follower                   |   10
 nagas                          |   10
 yakkhas                        |   10
 Naga                           |    9
 Yama devas                     |    9
!  celestial                      |    9
 gandhabbas                     |    9
 kshatriyas                     |    9
