        identifier        | nikaya | vagga | book_number  |                       title                       |                  subtitle                  
--------------------------+--------+-------+--------------+---------------------------------------------------+--------------------------------------------
 thag.18.00x.olen.html    | KN     | Thag  | 18           | Maha Kassapa Thera                                | At Home in the Mountains
 khp.9.nymo.html          | KN     | Khp   | 9            | Karaniya Metta Sutta                              | Loving-Kindness
 khp.1-9x.piya.html       | KN     | Khp   | 1-6;9        | The Khuddakapatha                                 | 
 khp.1-9.than.html        | KN     | Khp   | 1-9          | The Khuddakapatha                                 | 
 pv.1.05.than.html        | KN     | Pv    | 1.5          | Tirokudda Kanda                                   | Hungry Shades Outside the Walls
 khp.9.budd.html          | KN     | Khp   | 9            | Karaniya Metta Sutta                              | The Hymn of Universal Love
 khp.5.soni.html          | KN     | Khp   | 5            | Mangala Sutta                                     | Blessings
 khp.5.nara.html          | KN     | Khp   | 5            | Mangala Sutta                                     | Blessings
 khp.9.amar.html          | KN     | Khp   | 9            | Karaniya Metta Sutta                              | The Buddha's Words on Loving-kindness
 thag.15.01.olen.html     | KN     | Thag  | 15.1         | Aññakondañña Thera                                | Aññakondañña
 thag.02.13x.olen.html    | KN     | Thag  | 2.13         | Heraññakani                                       | (excerpt)
 thag.06.09.than.html     | KN     | Thag  | 6.9          | Jenta, the Royal Chaplain's Son                   | 
 thag.06.13.olen.html     | KN     | Thag  | 6.13         | Sirimanda Thera                                   | Beaten Like a Thief
 thag.12.02.than.html     | KN     | Thag  | 12.2         | Sunita the Outcaste                               | 
 thag.11.01.than.html     | KN     | Thag  | 11.1         | Sankicca                                          | 
 thag.16.01.than.html     | KN     | Thag  | 16.1         | Adhimutta                                         | Adhimutta and the Bandits
 thag.02.26.than.html     | KN     | Thag  | 2.26         | Punnamasa                                         | 
 thag.02.46.olen.html     | KN     | Thag  | 2            | Culaka                                            | The Call of the Peacocks
 thag.06.10.than.html     | KN     | Thag  | 6.10         | Sumana the Novice                                 | 
 thag.02.13.than.html     | KN     | Thag  | 2.13         | Heraññakani                                       | 
 thag.03.15.than.html     | KN     | Thag  | 3.15         | Harita (2)                                        | 
 thag.10.02.olen.html     | KN     | Thag  | 10.2         | Ekavihariya Thera                                 | The Lonely Forest Dweller
 thag.17.02.olen.html     | KN     | Thag  | 17.2         | Sariputta Thera                                   | Keeping the Wheel Rolling
 thag.06.02.than.html     | KN     | Thag  | 6.2          | Tekicchakani                                      | 
