identifier,nikaya,vagga,book_number,title,subtitle
mn.001.than.html,MN,,1,Mulapariyaya Sutta,The Root Sequence
mn.002.bpit.html,MN,,2,Sabbasava Sutta,Discourse on All Āsavas
mn.002.than.html,MN,,2,Sabbasava Sutta,All the Fermentations
mn.004.than.html,MN,,4,Bhaya-bherava Sutta,Fear & Terror
mn.007.nypo.html,MN,,7,Vatthupama Sutta,The Simile of the Cloth
mn.008.nypo.html,MN,,8,Sallekha Sutta,The Discourse on Effacemen
mn.009.ntbb.html,MN,,9,Sammaditthi Sutta,The Discourse on Right View
mn.009.than.html,MN,,9,Sammaditthi Sutta,Right View
mn.010.nysa.html,MN,,10,Satipatthana Sutta,The Foundations of Mindfulness
mn.010.soma.html,MN,,10,Satipatthana Sutta,The Discourse on the Arousing of Mindfulness
mn.010.than.html,MN,,10,Satipatthana Sutta,Frames of Reference
mn.011.ntbb.html,MN,,11,Cula-sihanada Sutta,The Shorter Discourse on the Lion's Roar
mn.012.ntbb.html,MN,,12,Maha-sihanada Sutta,The Great Discourse on the Lion's Roar
mn.013.than.html,MN,,13,Maha-dukkhakkhandha Sutta,The Great Mass of Stress
mn.014.than.html,MN,,14,Cula-dukkhakkhandha Sutta,The Lesser Mass of Stress
mn.018.than.html,MN,,18,Madhupindika Sutta,The Ball of Honey
mn.019.than.html,MN,,19,Dvedhavitakka Sutta,Two Sorts of Thinking
mn.020.soma.html,MN,,20,Vitakkasanthana Sutta,The Removal of Distracting Thoughts
mn.020.than.html,MN,,20,Vitakkasanthana Sutta,The Relaxation of Thoughts
mn.021x.than.html,MN,,21,Kakacupama Sutta,The Simile of the Saw
mn.022.nypo.html,MN,,22,Alagaddupama Sutta,The Snake Simile
mn.022.than.html,MN,,22,Alagaddupama Sutta,The Water-Snake Simile
mn.024.than.html,MN,,24,Ratha-vinita Sutta,Relay Chariots
mn.026.than.html,MN,,26,Ariyapariyesana Sutta,The Noble Search
mn.027.than.html,MN,,27,Cula-hatthipadopama Sutta,The Shorter Elephant Footprint Simile
mn.028.than.html,MN,,28,Maha-hatthipadopama Sutta,The Great Elephant Footprint Simile
mn.029.than.html,MN,,29,Maha Saropama Sutta,The Longer Heartwood-simile Discourse
mn.030.than.html,MN,,30,Cula Saropama Sutta,The Shorter Heartwood-simile Discourse
mn.033.than.html,MN,,33,Maha-gopalaka Sutta,The Greater Cowherd Discourse
mn.034x.olen.html,MN,,34,Culagopalika Sutta,The Shorter Discourse on the Cowherd
mn.035.than.html,MN,,35,Cula-Saccaka Sutta,The Shorter Discourse to Saccaka
mn.036.than.html,MN,,36,Maha-Saccaka Sutta,The Longer Discourse to Saccaka
mn.038.than.html,MN,,38,Mahatanhasankhaya Sutta,The Greater Craving-Destruction Discourse
mn.039.than.html,MN,,39,Maha-Assapura Sutta,The Greater Discourse at Assapura
mn.041.nymo.html,MN,,41,Saleyyaka Sutta,The Brahmans of Sala
mn.041.than.html,MN,,41,Saleyyaka Sutta,(Brahmans) of Sala
mn.043.than.html,MN,,43,Mahavedalla Sutta,The Greater Set of Questions-and-Answers
mn.044.than.html,MN,,44,Culavedalla Sutta,The Shorter Set of Questions-and-Answers
mn.045.than.html,MN,,45,Cula-dhammasamadana Sutta,The Shorter Discourse on Taking on Practices
mn.049.than.html,MN,,49,Brahma-nimantanika Sutta,The Brahma Invitation
mn.052.than.html,MN,,52,Atthakanagara Sutta,To the Man from Atthakanagara
mn.053.than.html,MN,,53,Sekha-patipada Sutta,The Practice for One in Training
mn.054x.than.html,MN,,54,Potaliya Sutta,To Potaliya
mn.057.nymo.html,MN,,57,Kukkuravatika Sutta,The Dog-duty Ascetic
mn.058.than.html,MN,,58,Abhaya Sutta,To Prince Abhaya
mn.059.nypo.html,MN,,59,Bahuvedaniya Sutta,The Many Kinds of Feeling
mn.059.than.html,MN,,59,Bahuvedaniya Sutta,Many Things to be Experienced
mn.060.than.html,MN,,60,Apannaka Sutta,A Safe Be
mn.061.than.html,MN,,61,Ambalatthika-rahulovada Sutta,Instructions to Rahula at Mango Stone
mn.062.than.html,MN,,62,Maha-Rahulovada Sutta,The Greater Exhortation to Rahula
mn.063.than.html,MN,,63,Cula-Malunkyovada Sutta,The Shorter Instructions to Malunkya
mn.066.than.html,MN,,66,Latukikopama Sutta,The Quail Simile
mn.070.than.html,MN,,70,Kitagiri Sutta,At Kitagiri
mn.072.than.html,MN,,72,Aggi-Vacchagotta Sutta,To Vacchagotta on Fire
mn.074.than.html,MN,,74,Dighanaka Sutta,To LongNails
mn.075x.than.html,MN,,75,Magandiya Sutta,To Magandiya
mn.078.than.html,MN,,78,Samana-Mundika Sutta,Mundika the Contemplative
mn.082.than.html,MN,,82,Ratthapala Sutta,About Ratthapala
mn.086.than.html,MN,,86,Angulimala Sutta,About Angulimala
mn.087.than.html,MN,,87,Piyajatika Sutta,From One Who Is Dear
mn.090.than.html,MN,,90,Kannakatthala Sutta,At Kannakatthala
mn.093.than.html,MN,,93,Assalayana Sutta,With Assalayana
mn.095x.nymo.html,MN,,95,Canki Sutta,With Canki
mn.095x.than.html,MN,,95,Canki Sutta,With Canki
mn.097.than.html,MN,,97,Dhanañjani Sutta,To Dhanañjanin
mn.101.than.html,MN,,101,Devadaha Sutta,At Devadaha
mn.105.than.html,MN,,105,Sunakkhatta Sutta,To Sunakkhatta
mn.106.than.html,MN,,106,Aneñja-sappaya Sutta,Conducive to the Imperturbable
