              norp              | freq 
--------------------------------+------
 devas                          |   94
 brahmans                       |   68
 brahman                        |   49
 Monks                          |   35
 contemplatives                 |   34
 monks                          |   33
 ascetics                       |   31
 bhikkhus                       |   29
 Devas                          |   25
 deva                           |   22
 householders                   |   21
 wanderers                      |   19
 Yakkhas                        |   18
 Yakkha                         |   17
 Mallans                        |   17
 yakkha                         |   16
 Four Great Kings               |   16
 householder                    |   15
 kings                          |   14
 Sangha                         |   13
 hungry shades                  |   13
 Bhikkhus                       |   13
 naga                           |   12
 Maras                          |   12
 Nagas                          |   11
 arahants                       |   11
 Sakyans                        |   10
 recluses                       |   10
 gandhabba                      |   10
 Licchavis                      |   10
 noble ones                     |   10
 Brahmans                       |   10
 Brahmas                        |    9
 Koliyan                        |    9
 asuras                         |    9
 devatas                        |    9
 Mallas                         |    9
 lay followers                  |    9
 yakkhas                        |    8
 Gandhabba                      |    8
 nagas                          |    8
 gods                           |    8
 wanderer                       |    8
 nuns                           |    8
 brahmins                       |    8
 Brahman                        |    7
 Sakyan-son contemplatives      |    7
 contemplative                  |    7
 Mallan                         |    7
 Vajjians                       |    7
 nymphs                         |    6
 noble warrior                  |    6
 Yama devas                     |    6
 devata                         |    6
 Gandhabbas                     |    6
 Ajivaka                        |    6
 Naga                           |    6
 nobles                         |    5
 Sakyan                         |    5
 female lay followers           |    5
 ascetic                        |    5
 sectarians                     |    5
 Kosalans                       |    5
 Vulture-Killers                |    5
 Arahants                       |    5
 male lay followers             |    4
 noble warriors                 |    4
 Thirty-three                   |    4
 seers                          |    4
 Kurus                          |    4
 Kalamas                        |    4
 Noble Ones                     |    4
 Asuras                         |    4
 community of monks             |    4
 royal ministers                |    4
 gandhabbas                     |    4
 Awakened Ones                  |    4
 lay follower                   |    3
 hungry ghosts                  |    3
 Jain                           |    3
 Angas                          |    3
 male & female slaves           |    3
 Kumbhanda                      |    3
 noble disciple                 |    3
 Fully Enlightened Ones         |    3
 Kumbhandas                     |    3
 Vajjis                         |    3
 Niganthas                      |    3
 male & female lay followers    |    3
 Ariyas                         |    3
 demons                         |    3
 merchant                       |    2
 brahmas                        |    2
 Pure Ones                      |    2
 Buddhas                        |    2
 brahman seers                  |    2
 Yama Devas                     |    2
 Subhakinha devas               |    2
 brahmās                        |    2
 demon                          |    2
 Contented Devas                |    2
 Blessed Ones                   |    2
 Sky-fruit devas                |    2
 Licchavi                       |    2
 māras                          |    2
 Buliyans                       |    2
 khattiyas                      |    2
 Bharadvaja clan                |    2
 Dasarahas                      |    2
 Koliyans                       |    2
 Malla clan                     |    2
 Magadhan                       |    2
 four great Kings               |    2
 Devata                         |    2
 bhikkhu-sangha                 |    2
 Great Forty                    |    2
 monk                           |    2
 maras                          |    2
 disciples                      |    2
 Jains                          |    2
 Maghadans                      |    1
 Suddhavasa deities             |    1
 Bhikkhu                        |    1
 Noble Disciple                 |    1
 Erapatha                       |    1
 Nimmanaratis                   |    1
 retinue of Brahma              |    1
 Cetis                          |    1
 devas of Immeasurable Radiance |    1
 arahant monks                  |    1
 brahmin                        |    1
 Sakyan lay followers           |    1
 Avantis                        |    1
 Sakyan son                     |    1
 Moriyans                       |    1
 arahats                        |    1
 Vasetthas                      |    1
 Anguttarapans                  |    1
 Bhaaradvaaja Brahmans          |    1
 deva-king                      |    1
 brahmanas                      |    1
 Surasenas                      |    1
 Bulis                          |    1
 noble sons                     |    1
 Kasis                          |    1
 timingala                      |    1
 Akasa                          |    1
 novices                        |    1
 deities                        |    1
 Beautiful devas                |    1
 devas of Streaming Radiance    |    1
 Abhassara devas                |    1
 devas of Immeasurable Beauty   |    1
 Ghandhabbas                    |    1
 timirapingala                  |    1
 Paranimmitavasavattis          |    1
 Magadhans                      |    1
 Sakyas                         |    1
 Beautiful Black devas          |    1
 paccekabuddha                  |    1
 human beings                   |    1
 Virupakkha                     |    1
 paccekabuddhas                 |    1
 Kanhagotamaka                  |    1
 Vansans                        |    1
 celestial                      |    1
 Gandharans                     |    1
 Macchas                        |    1
 male and female lay followers  |    1
 monastery attendants           |    1
 warriors                       |    1
 deva kings                     |    1
 Vehapphala devas               |    1
 male and female lay-followers  |    1
 Brahma's retinue               |    1
 nymph                          |    1
 devas of Limited Beauty        |    1
 Householders                   |    1
 Chabyaputta                    |    1
 Kambojans                      |    1
 devaputtas                     |    1
 Tusitas                        |    1
 Sire                           |    1
 Pañcalas                       |    1
 Anguttarapan                   |    1
 devas'. the                    |    1
 Bhikkhu Sangha                 |    1
 asura                          |    1
 Yamas                          |    1
 Radiant devas                  |    1
 timi                           |    1
 Yama's minions                 |    1
 Sunerus                        |    1
 devas of Limited Radiance      |    1
 brahman householders           |    1
 four great kings               |    1
