uid,name,aliases
alavaka,Alavaka,
alavi,Alavi,
apana,Apana,
assatara,Assatara,
atanata,Atanata,
avantī,Avantī,
bhoganagara,Bhoganagara,
varanasi,Varanasi,Bārāṇasī|Vārāṇasī|Benares
campa,Campa,
devadaha,Devadaha,
gayā,Gayā,
icchanangala,Icchanangala,
jantu_village,Jantu Village,
kambala,Kambala,
kammasadhamma,Kammasadhamma,
kapilavatthu,Kapilavatthu,
kasi,Kasi,
kingdom_of_alakamanda,Kingdom of Alakamanda,Alakamanda
kosala,Kosala,
kusavati,Kusavati,
kusinara,Kusinara,
magadha,Magadha,
nalanda,Nalanda,
okkala,Okkala,
payaga,Payaga,
pāva,Pāva,
pāṭali_village,Pāṭali Village,
rājagaha,Rājagaha,RaajagahaRajagaha
sala,Sala,
simbali,Simbali,
subhaga,Subhaga,
sāvatthī,Sāvatthī,Savatthi
tacchaka,Tacchaka,
thullakotthita,Thullakotthita,
toranavatthu,Toranavatthu,
ukkattha,Ukkattha,
upavattana,Upavattana,
uruvela,Uruvela,
vesālī,Vesālī,Vesali|Visali
vessavana,Vessavana,
