gpe_uid,gpe_name,sutta_ref,identifier,count
alavi,Alavi,Sn 1.10,snp.1.10.than.html,1
kasi,Kasi,Sn 1.4,snp.1.04.piya.html,5
vesālī,Vesālī,MN 108,mn.108.than.html,1
kosala,Kosala,AN 68.7,an07.068.yaho.html,1
kapilavatthu,Kapilavatthu,AN 46.10,an10.046.than.html,1
sāvatthī,Sāvatthī,SN 8.5,sn05.008.bodh.html,1
kosala,Kosala,AN 49.5,an05.049.than.html,2
sāvatthī,Sāvatthī,Ud 3.1,ud.3.01.irel.html,1
sala,Sala,MN 45,mn.045.than.html,5
sāvatthī,Sāvatthī,MN 30,mn.030.than.html,1
sala,Sala,DN 2,dn.02.0.than.html,7
sāvatthī,Sāvatthī,SN 53.46,sn46.053.than.html,4
icchanangala,Icchanangala,AN 86.8,an08.086.than.html,9
kammasadhamma,Kammasadhamma,DN 22,dn.22.0.than.html,1
sala,Sala,MN 41,mn.041.nymo.html,8
nalanda,Nalanda,DN 11,dn.11.0.than.html,5
magadha,Magadha,SN 13.6,sn06.013.olen.html,1
sala,Sala,Ud 2.6,ud.2.06.than.html,3
sala,Sala,SN 4.3,sn03.004.than.html,1
sāvatthī,Sāvatthī,Ud 4.10,ud.4.10.than.html,1
sala,Sala,SN 6.3,sn03.006.than.html,1
sāvatthī,Sāvatthī,MN 117,mn.117.than.html,1
sāvatthī,Sāvatthī,MN 135,mn.135.than.html,1
kingdom_of_alakamanda,Kingdom of Alakamanda,DN 16,dn.16.1-6.vaji.html,1
sāvatthī,Sāvatthī,SN 44.48,sn48.044.than.html,1
uruvela,Uruvela,AN 41.9,an09.041.than.html,3
sāvatthī,Sāvatthī,SN 5.3,sn03.005.than.html,1
sāvatthī,Sāvatthī,Ud 6.2,ud.6.02.than.html,1
sāvatthī,Sāvatthī,SN 6.5,sn05.006.than.html,3
sāvatthī,Sāvatthī,AN 60.10,an10.060.than.html,1
kingdom_of_alakamanda,Kingdom of Alakamanda,DN 16,dn.16.5-6.than.html,1
sala,Sala,SN 11.9,sn09.011.than.html,1
jantu_village,Jantu Village,Ud 4.1,ud.4.01.irel.html,3
rājagaha,Rājagaha,Ud 1.6,ud.1.06.than.html,4
sāvatthī,Sāvatthī,SN 101.22,sn22.101.than.html,1
sāvatthī,Sāvatthī,SN 6.5,sn05.006.bodh.html,1
sāvatthī,Sāvatthī,MN 113,mn.113.than.html,1
sāvatthī,Sāvatthī,SN 11.12,sn12.011.than.html,1
sāvatthī,Sāvatthī,SN 3.11,sn11.003.piya.html,1
sāvatthī,Sāvatthī,SN 7.20,sn20.007.than.html,1
sāvatthī,Sāvatthī,Ud 6.7,ud.6.07.than.html,1
sāvatthī,Sāvatthī,Ud 8.3,ud.8.03.than.html,1
sāvatthī,Sāvatthī,Ud 2.2,ud.2.02.than.html,1
sāvatthī,Sāvatthī,Ud 7.7,ud.7.07.than.html,1
kapilavatthu,Kapilavatthu,DN 20,dn.20.0.than.html,2
kosala,Kosala,MN 24,mn.024.than.html,2
sāvatthī,Sāvatthī,SN 197.35,sn35.197.than.html,1
sāvatthī,Sāvatthī,SN 4.20,sn20.004.than.html,1
sāvatthī,Sāvatthī,Ud 8.4,ud.8.04.irel.html,1
sāvatthī,Sāvatthī,SN 1.21,sn21.001.than.html,1
sāvatthī,Sāvatthī,SN 7.25,sn25.007.than.html,1
sāvatthī,Sāvatthī,SN 7.3,sn03.007.than.html,1
sāvatthī,Sāvatthī,AN 94.10,an10.094.than.html,1
sala,Sala,MN 93,mn.093.than.html,36
sāvatthī,Sāvatthī,Ud 6.4,ud.6.04.than.html,9
vesālī,Vesālī,DN 16,dn.16.5-6.than.html,3
sāvatthī,Sāvatthī,Ud 3.5,ud.3.05.than.html,1
kasi,Kasi,Sn 1.4,snp.1.04.than.html,10
campa,Campa,DN 16,dn.16.5-6.than.html,1
varanasi,Varanasi,SN 59.22,sn22.059.nymo.html,1
kosala,Kosala,AN 43.8,an08.043.khan.html,1
sāvatthī,Sāvatthī,SN 44.12,sn12.044.than.html,1
sāvatthī,Sāvatthī,MN 2,mn.002.than.html,1
sala,Sala,AN 43.8,an08.043.khan.html,2
sāvatthī,Sāvatthī,SN 75.35,sn35.075.than.html,1
sāvatthī,Sāvatthī,Ud 8.1,ud.8.01.irel.html,1
sala,Sala,MN 24,mn.024.than.html,2
sala,Sala,MN 36,mn.036.than.html,2
sāvatthī,Sāvatthī,SN 6.3,sn03.006.than.html,1
varanasi,Varanasi,SN 67.12,sn12.067.than.html,1
alavi,Alavi,AN 34.3,an03.034.than.html,2
sāvatthī,Sāvatthī,Ud 3.8,ud.3.08.than.html,1
kosala,Kosala,MN 87,mn.087.than.html,8
sāvatthī,Sāvatthī,SN 9.5,sn05.009.bodh.html,1
sāvatthī,Sāvatthī,Ud 8.2,ud.8.02.than.html,1
sāvatthī,Sāvatthī,SN 5.17,sn17.005.than.html,1
magadha,Magadha,MN 108,mn.108.than.html,5
sāvatthī,Sāvatthī,SN 65.12,sn12.065.than.html,1
sāvatthī,Sāvatthī,SN 58.22,sn22.058.than.html,1
sāvatthī,Sāvatthī,Sn 3.12,snp.3.12.than.html,1
alavi,Alavi,SN 1.5,sn05.001.than.html,3
sāvatthī,Sāvatthī,SN 85.22,sn22.085.than.html,1
kosala,Kosala,Ud 4.8,ud.4.08.than.html,1
vesālī,Vesālī,Ud 6.1,ud.6.01.than.html,5
sāvatthī,Sāvatthī,MN 130,mn.130.than.html,1
sāvatthī,Sāvatthī,SN 37.47,sn47.037.than.html,1
magadha,Magadha,Sn 1.4,snp.1.04.olen.html,1
kapilavatthu,Kapilavatthu,MN 122,mn.122.than.html,3
uruvela,Uruvela,Ud 1.3,ud.1.03.irel.html,1
kosala,Kosala,MN 41,mn.041.nymo.html,3
sāvatthī,Sāvatthī,SN 35.47,sn47.035.than.html,1
kosala,Kosala,MN 86,mn.086.than.html,7
varanasi,Varanasi,AN 38.3,an03.038.than.html,2
sāvatthī,Sāvatthī,MN 33,mn.033.than.html,1
sāvatthī,Sāvatthī,SN 9.25,sn25.009.than.html,1
kosala,Kosala,Ud 4.3,ud.4.03.than.html,1
kosala,Kosala,AN 70.3,an03.070.than.html,1
varanasi,Varanasi,SN 122.22,sn22.122.than.html,1
kosala,Kosala,SN 23.3,sn03.023.than.html,1
kusinara,Kusinara,DN 16,dn.16.5-6.than.html,47
kasi,Kasi,AN 43.8,an08.043.khan.html,1
sāvatthī,Sāvatthī,SN 100.22,sn22.100.than.html,1
sāvatthī,Sāvatthī,SN 20.3,sn03.020.than.html,3
sāvatthī,Sāvatthī,AN 71.10,an10.071.than.html,1
vessavana,Vessavana,DN 32,dn.32.0.piya.html,10
sāvatthī,Sāvatthī,SN 1.5,sn05.001.than.html,3
varanasi,Varanasi,SN 3.44,sn44.003.than.html,1
sāvatthī,Sāvatthī,AN 49.6,an06.049.than.html,2
sāvatthī,Sāvatthī,SN 5.25,sn25.005.than.html,1
sāvatthī,Sāvatthī,MN 93,mn.093.than.html,4
sāvatthī,Sāvatthī,SN 31.12,sn12.031.than.html,1
rājagaha,Rājagaha,Ud 4.4,ud.4.04.than.html,1
sala,Sala,AN 30.5,an05.030.than.html,3
sāvatthī,Sāvatthī,SN 42.47,sn47.042.than.html,1
sala,Sala,SN 15.3,sn03.015.than.html,1
varanasi,Varanasi,SN 4.44,sn44.004.than.html,1
upavattana,Upavattana,DN 16,dn.16.5-6.than.html,6
sāvatthī,Sāvatthī,MN 28,mn.028.than.html,1
sāvatthī,Sāvatthī,MN 143,mn.143.than.html,1
sāvatthī,Sāvatthī,SN 54.22,sn22.054.than.html,1
apana,Apana,MN 52,mn.052.than.html,1
sāvatthī,Sāvatthī,Ud 2.3,ud.2.03.than.html,4
alavi,Alavi,AN 24.8,an08.024.than.html,6
kingdom_of_alakamanda,Kingdom of Alakamanda,DN 32,dn.32.0.piya.html,4
magadha,Magadha,DN 32,dn.32.0.piya.html,3
sāvatthī,Sāvatthī,SN 25.3,sn03.025.than.html,1
sala,Sala,AN 65.3,an03.065.soma.html,2
sāvatthī,Sāvatthī,Ud 1.8,ud.1.08.than.html,3
kosala,Kosala,SN 14.9,sn09.014.than.html,1
nalanda,Nalanda,SN 8.42,sn42.008.than.html,1
sāvatthī,Sāvatthī,AN 1.9,an09.001.than.html,1
sāvatthī,Sāvatthī,DN 20,dn.20.0.piya.html,1
vesālī,Vesālī,SN 9.54,sn54.009.than.html,3
sāvatthī,Sāvatthī,AN 69.10,an10.069.than.html,1
kapilavatthu,Kapilavatthu,DN 16,dn.16.1-6.vaji.html,3
sāvatthī,Sāvatthī,SN 5.5,sn05.005.than.html,3
sāvatthī,Sāvatthī,SN 22.22,sn22.022.than.html,1
campa,Campa,AN 81.10,an10.081.than.html,1
vesālī,Vesālī,SN 30.55,sn55.030.than.html,1
kosala,Kosala,SN 14.3,sn03.014.than.html,2
vesālī,Vesālī,AN 53.8,an08.053.than.html,1
rājagaha,Rājagaha,MN 136,mn.136.than.html,1
nalanda,Nalanda,SN 6.42,sn42.006.than.html,1
sāvatthī,Sāvatthī,SN 3.5,sn05.003.than.html,3
sāvatthī,Sāvatthī,MN 8,mn.008.nypo.html,1
sāvatthī,Sāvatthī,Khp 1-6;9,khp.1-9x.piya.html,2
kosala,Kosala,AN 65.3,an03.065.than.html,1
sāvatthī,Sāvatthī,SN 47.22,sn22.047.than.html,1
sāvatthī,Sāvatthī,AN 70.3,an03.070.than.html,1
sāvatthī,Sāvatthī,MN 13,mn.013.than.html,4
sāvatthī,Sāvatthī,Ud 5.1,ud.5.01.than.html,1
uruvela,Uruvela,DN 16,dn.16.1-6.vaji.html,1
sāvatthī,Sāvatthī,SN 5.11,sn11.005.than.html,1
sala,Sala,SN 20.3,sn03.020.than.html,1
sāvatthī,Sāvatthī,SN 22.22,sn22.022.niza.html,1
