loc_uid,loc_name,alias
aggalava_shrine,Aggalava Shrine,Aggalava Shrine
ajakalāpaka,Ajakalāpaka,Ajakalāpaka
ajakalāpaka,Ajakalāpaka,Ajakalāpaka [Herd-of-Goats] shrine
ananda_shrine,Ananda shrine,Ananda shrine
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Anāthapiṇḍika's monastery
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Anathapindika's park
bahuputta,Bahuputta,Bahuputta
bamboo_grove,Bamboo Grove,Bamboo Grove
bamboo-grove_monastery,Bamboo-Grove Monastery,Bamboo-Grove Monastery
banyan_grove,Banyan Grove,Banyan Grove
banyan_grove,Banyan Grove,Banyan Park
black_rock_of_isigili,Black Rock of Isigili,Black Rock of Isigili
brahma-world,Brahma-world,Brahma-world
capala,Capala,Capala
cool_forest,Cool Forest,Cool Forest
cool_forest,Cool Forest,Cool Wood
deer_park_at_isipatana,Deer Park at Isipatana,Deer Park at Isipatana
deer_park_at_isipatana,Deer Park at Isipatana,Deer Park
deva_realm,deva realm,deva realm
eastern_clime,Eastern clime,Eastern clime
gabled_hall,Gabled Hall,Gabled Hall
gaggara_lake,Gaggara Lake,Gaggara Lake
ganges,Ganges,Ganges
gayā_head,Gayā Head,Gayā Head
goatherds_banyan_tree,Goatherd's Banyan Tree,Goatherd's Banyan Tree
gotamaka_shrine,Gotamaka Shrine,Gotamaka Shrine
gotamaka_shrine,Gotamaka Shrine,Gotamaka
great_forest,Great Forest,Great Forest
great_forest,Great Forest,Mahavana
great_forest,Great Forest,Great Wood
grove_of_the_blind,Grove of the Blind,Grove of the Blind
grove_of_the_blind,Grove of the Blind,Blind Men's Grove
grove_of_the_blind,Grove of the Blind,Blind Man's Grove
hall_of_the_gabled_pavilion,Hall of the Gabled Pavilion,Hall of the Gabled Pavilion
heaven_of_the_thirty-three,heaven of the Thirty-three,heaven of the Thirty-three
heaven_of_the_thirty-three,heaven of the Thirty-three,Thirty-three
high_divinity,High Divinity,High Divinity
high_divinity,High Divinity,World of High Divinity
himalayan_district,Himalayan district,Himalayan district
himalayan_district,Himalayan district,Himalayas
hiraññavati_river,Hiraññavati River,Hiraññavati River
hot_springs,Hot Springs,Hot Springs
jetas_grove,Jeta's Grove,Jeta's Grove
jetas_grove,Jeta's Grove,Jetavana
jivakas_mango_grove,Jivaka's Mango Grove,Jivaka's Mango Grove
kimikālā_river,Kimikālā River,Kimikālā River
kuru_country,Kuru country,Kuru country
lake_nabhasa,lake Nabhasa,lake Nabhasa
mallan_sal_grove,Mallan sal grove,Mallan sal grove
manyson_shrine,ManySon shrine,ManySon shrine
mount_vepulla,Mount Vepulla,Mount Vepulla
nerañjara_river,Nerañjara River,Nerañjara River
niraya,Niraya,Niraya
pavarika_mango_grove,Pavarika Mango Grove,Pavarika Mango Grove
pavatta_mountain,Pavatta Mountain,Pavatta Mountain
peaked_roofed_pavilion,Peaked Roofed Pavilion,Peaked Roofed Pavilion
pure_abodes,Pure Abodes,Pure Abodes
pure_abodes,Pure Abodes,Suddhavasa
pāvāla_shrine,Pāvāla shrine,Pāvāla shrine
river_ganges,river Ganges,river Ganges
river_vaggamudā,River Vaggamudā,River Vaggamudā
robbers_cliff,Robbers' Cliff,Robbers' Cliff
sala_grove,Sala Grove,Sala Grove
sarandada,Sarandada,Sarandada
sattamba_shrine,Sattamba shrine,Sattamba shrine
sattambaka,Sattambaka,Sattambaka
sattapanni_cave,Sattapanni Cave,Sattapanni Cave
serpents_pool,Serpents' Pool,Serpents' Pool
small_nook,Small Nook,Small Nook
squirrels_sanctuary,Squirrels' Sanctuary,Squirrels' Sanctuary
squirrels_sanctuary,Squirrels' Sanctuary,Squirrels' Feeding-ground
squirrels_sanctuary,Squirrels' Sanctuary,Squirrel's Feeding Place
subhaga_forest,Subhaga forest,Subhaga forest
sunaparanta_country,Sunaparanta country,Sunaparanta country
sāranda_shrine,Sāranda shrine,Sāranda shrine
tapoda_grove,Tapoda Grove,Tapoda Grove
tapoda_grove,Tapoda Grove,Tapodaa Park
udena,Udena,Udena
udena,Udena,Udena shrine
vebhara_mountain,Vebhara Mountain,Vebhara Mountain
vehapphala,Vehapphala,Vehapphala
vessamitta_mountain,Vessamitta mountain,Vessamitta mountain
vulture_peak_mountain,Vulture Peak Mountain,Vulture Peak Mountain
vulture_peak_mountain,Vulture Peak Mountain,Vulture's Peak
western_lands,Western lands,Western lands
ābhassara_brahma-world,Ābhassara Brahma-world,Ābhassara Brahma-world
