loc_uid,loc_name,sutta_ref,identifier,count
river_vaggamudā,River Vaggamudā,Ud 3.3,ud.3.03.than.html,7
himalayan_district,Himalayan district,SN 7.47,sn47.007.than.html,1
jetas_grove,Jeta's Grove,Ud 4.6,ud.4.06.than.html,1
heaven_of_the_thirty-three,heaven of the Thirty-three,DN 11,dn.11.0.than.html,3
vulture_peak_mountain,Vulture Peak Mountain,AN 21.7,an07.021.than.html,1
vulture_peak_mountain,Vulture Peak Mountain,AN 7.8,an08.007.than.html,1
deva_realm,deva realm,SN 102-113.56,sn56.102-113.than.html,4
jetas_grove,Jeta's Grove,MN 8,mn.008.nypo.html,1
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Ud 6.5,ud.6.05.than.html,1
gabled_hall,Gabled Hall,Ud 6.1,ud.6.01.than.html,1
jetas_grove,Jeta's Grove,Ud 5.7,ud.5.07.than.html,1
jetas_grove,Jeta's Grove,AN 20.9,an09.020.than.html,1
jetas_grove,Jeta's Grove,Khp 1-6;9,khp.1-9x.piya.html,2
jetas_grove,Jeta's Grove,SN 8.45,sn45.008.than.html,1
niraya,Niraya,Sn 2.6,snp.2.06.irel.html,1
deer_park_at_isipatana,Deer Park at Isipatana,SN 11.56,sn56.011.piya.html,8
kimikālā_river,Kimikālā River,Ud 4.1,ud.4.01.than.html,2
jetas_grove,Jeta's Grove,MN 59,mn.059.than.html,1
heaven_of_the_thirty-three,heaven of the Thirty-three,SN 6.9,sn09.006.than.html,2
squirrels_sanctuary,Squirrels' Sanctuary,SN 2.7,sn07.002.than.html,1
high_divinity,High Divinity,AN 125.4,an04.125.nymo.html,2
heaven_of_the_thirty-three,heaven of the Thirty-three,AN 13.11,an11.013.than.html,1
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,MN 22,mn.022.than.html,1
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Ud 7.4,ud.7.04.than.html,1
grove_of_the_blind,Grove of the Blind,SN 5.5,sn05.005.than.html,2
jetas_grove,Jeta's Grove,SN 41.1,sn01.041.than.html,2
squirrels_sanctuary,Squirrels' Sanctuary,Ud 4.4,ud.4.04.than.html,1
gotamaka_shrine,Gotamaka Shrine,AN 123.3,an03.123.than.html,2
jetas_grove,Jeta's Grove,SN 53.46,sn46.053.than.html,1
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Ud 6.4,ud.6.04.than.html,1
bamboo-grove_monastery,Bamboo-Grove Monastery,SN 21.36,sn36.021.nypo.html,1
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Ud 8.1,ud.8.01.than.html,1
pure_abodes,Pure Abodes,MN 22,mn.022.than.html,1
great_forest,Great Forest,AN 41.9,an09.041.than.html,2
jetas_grove,Jeta's Grove,SN 13.16,sn16.013.than.html,1
hall_of_the_gabled_pavilion,Hall of the Gabled Pavilion,SN 60.22,sn22.060.than.html,1
gotamaka_shrine,Gotamaka Shrine,DN 16,dn.16.1-6.vaji.html,2
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Ud 6.3,ud.6.03.than.html,1
river_ganges,river Ganges,SN 14.47,sn47.014.nypo.html,1
bamboo_grove,Bamboo Grove,SN 21.36,sn36.021.than.html,1
heaven_of_the_thirty-three,heaven of the Thirty-three,AN 8.8,an08.008.than.html,4
sattapanni_cave,Sattapanni Cave,DN 16,dn.16.1-6.vaji.html,1
vulture_peak_mountain,Vulture Peak Mountain,SN 42.56,sn56.042.than.html,1
jetas_grove,Jeta's Grove,MN 147,mn.147.than.html,1
jetas_grove,Jeta's Grove,Ud 5.4,ud.5.04.than.html,3
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Ud 1.8,ud.1.08.than.html,1
pure_abodes,Pure Abodes,MN 12,mn.012.ntbb.html,4
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Ud 5.1,ud.5.01.than.html,1
bamboo_grove,Bamboo Grove,Ud 1.6,ud.1.06.than.html,1
jetas_grove,Jeta's Grove,AN 31.7,an07.031.than.html,2
bamboo_grove,Bamboo Grove,SN 2.42,sn42.002.than.html,1
heaven_of_the_thirty-three,heaven of the Thirty-three,SN 207.35,sn35.207.than.html,2
jetas_grove,Jeta's Grove,AN 41.8,an08.041.vaka.html,1
bamboo_grove,Bamboo Grove,MN 152,mn.152.than.html,1
jetas_grove,Jeta's Grove,Ud 8.9,ud.8.09.than.html,1
bamboo_grove,Bamboo Grove,Ud 5.8,ud.5.08.than.html,1
great_forest,Great Forest,SN 60.22,sn22.060.than.html,1
jetas_grove,Jeta's Grove,Ud 6.3,ud.6.03.than.html,1
gabled_hall,Gabled Hall,SN 64.12,sn12.064.nypo.html,1
great_forest,Great Forest,AN 34.5,an05.034.than.html,1
mallan_sal_grove,Mallan sal grove,Ud 4.2,ud.4.02.than.html,1
vehapphala,Vehapphala,SN 11.56,sn56.011.piya.html,1
jetas_grove,Jeta's Grove,SN 1.44,sn44.001.than.html,1
heaven_of_the_thirty-three,heaven of the Thirty-three,SN 1.55,sn55.001.than.html,1
great_forest,Great Forest,SN 86.22,sn22.086.than.html,1
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Ud 3.9,ud.3.09.than.html,1
jetas_grove,Jeta's Grove,MN 43,mn.043.than.html,1
ganges,Ganges,SN 14.47,sn47.014.nypo.html,1
river_ganges,river Ganges,MN 21,mn.021x.budd.html,4
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Ud 8.10,ud.8.10.than.html,1
bamboo_grove,Bamboo Grove,MN 24,mn.024.than.html,1
great_forest,Great Forest,AN 53.8,an08.053.than.html,1
jetas_grove,Jeta's Grove,MN 2,mn.002.bpit.html,1
heaven_of_the_thirty-three,heaven of the Thirty-three,AN 70.3,an03.070.than.html,4
jetas_grove,Jeta's Grove,Sn 2.4,snp.2.04.than.html,2
deva_realm,deva realm,AN 86.3,an03.086.than.html,1
gotamaka_shrine,Gotamaka Shrine,AN 67.4,an04.067.piya.html,1
squirrels_sanctuary,Squirrels' Sanctuary,MN 58,mn.058.than.html,1
jetas_grove,Jeta's Grove,MN 138,mn.138.than.html,1
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,AN 20.9,an09.020.than.html,1
squirrels_sanctuary,Squirrels' Sanctuary,DN 16,dn.16.1-6.vaji.html,1
jetas_grove,Jeta's Grove,Ud 7.7,ud.7.07.than.html,1
vulture_peak_mountain,Vulture Peak Mountain,DN 32,dn.32.0.piya.html,2
hall_of_the_gabled_pavilion,Hall of the Gabled Pavilion,SN 86.22,sn22.086.than.html,1
heaven_of_the_thirty-three,heaven of the Thirty-three,SN 11.56,sn56.011.harv.html,1
jetas_grove,Jeta's Grove,MN 135,mn.135.nymo.html,1
river_ganges,river Ganges,AN 99.3,an03.099.than.html,3
great_forest,Great Forest,SN 80.22,sn22.080.than.html,2
jetas_grove,Jeta's Grove,SN 13.47,sn47.013.than.html,2
cool_forest,Cool Forest,DN 16,dn.16.1-6.vaji.html,1
jetas_grove,Jeta's Grove,Ud 3.8,ud.3.08.than.html,1
jetas_grove,Jeta's Grove,Ud 6.9,ud.6.09.than.html,1
vulture_peak_mountain,Vulture Peak Mountain,AN 55.6,an06.055.than.html,3
jetas_grove,Jeta's Grove,MN 30,mn.030.than.html,1
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,SN 42.47,sn47.042.than.html,1
squirrels_sanctuary,Squirrels' Sanctuary,Ud 6.8,ud.6.08.than.html,1
squirrels_sanctuary,Squirrels' Sanctuary,Ud 1.6,ud.1.06.than.html,1
jetas_grove,Jeta's Grove,MN 59,mn.059.nypo.html,1
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Ud 7.5,ud.7.05.than.html,1
jetas_grove,Jeta's Grove,AN 48.10,an10.048.piya.html,1
tapoda_grove,Tapoda Grove,DN 16,dn.16.1-6.vaji.html,1
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Ud 2.4,ud.2.04.than.html,1
