              norp              | freq 
--------------------------------+------
 brahmans                       |  634
 noble ones                     |  577
 brahman                        |  567
 bhikkhus                       |  546
 devas                          |  529
 Monks                          |  488
 contemplatives                 |  453
 householder                    |  381
 Sangha                         |  304
 monks                          |  256
 deva                           |  177
 Bhikkhus                       |  155
 recluses                       |  151
 householders                   |  136
 wanderers                      |  120
 arahants                       |  119
 brahmins                       |  102
 noble disciple                 |  100
 wanderer                       |   97
 Noble Ones                     |   97
 Devas                          |   90
 contemplative                  |   85
 ascetic                        |   69
 asuras                         |   68
 Sakyans                        |   67
 monk                           |   61
 devata                         |   61
 hungry shades                  |   59
 Mallans                        |   52
 Mallas                         |   51
 Brahman                        |   51
 Kalamas                        |   50
 ascetics                       |   50
 Sakyan                         |   46
 gods                           |   43
 kings                          |   42
 Niganthas                      |   41
 Maras                          |   39
 Buddhas                        |   38
 noble warriors                 |   37
 noble warrior                  |   37
 community of                   |   36
 Brahmas                        |   35
 Kosalans                       |   33
 yakkha                         |   33
 Yakkhas                        |   32
 Brahmans                       |   32
 nobles                         |   32
 Licchavis                      |   32
 nuns                           |   29
 seers                          |   29
 nymphs                         |   27
 sectarians                     |   27
 Four Great Kings               |   27
 brahmin                        |   25
 Noble One                      |   25
 Sakyan-son contemplatives      |   24
 devatas                        |   24
 lay followers                  |   24
 Koliyan                        |   21
 royal ministers                |   20
 brahmas                        |   20
 Householder                    |   19
 naga                           |   17
 brahman seers                  |   17
 Arahants                       |   15
 demons                         |   15
 Vasetthas                      |   15
 Yakkha                         |   14
 Vulture-Killers                |   14
 Asuras                         |   14
 Koliyans                       |   13
 Nagas                          |   13
 Kurus                          |   12
 gandhabba                      |   12
 Householders                   |   12
 Magadhans                      |   12
 maras                          |   12
 brahman householders           |   11
 merchant                       |   11
 Bhaggas                        |   11
 female lay followers           |   10
 yakkhas                        |   10
 lay follower                   |   10
 nagas                          |   10
 Naga                           |    9
 kshatriyas                     |    9
 Yama devas                     |    9
 celestial                      |    9
