    diff_type    |            norp            
-----------------+----------------------------
 ati_not_in_gold | Ariyan
 ati_not_in_gold | Aryan
 ati_not_in_gold | Bhaggas
 ati_not_in_gold | Bhummattha devas
 ati_not_in_gold | Contemplative
 ati_not_in_gold | Contemplatives
 ati_not_in_gold | Contented devas
 ati_not_in_gold | Four Great King devas
 ati_not_in_gold | Four Noble Truths
 ati_not_in_gold | Four Perversions set
 ati_not_in_gold | Fully Enlightened Ones.
 ati_not_in_gold | Generals
 ati_not_in_gold | Great Paragas
 ati_not_in_gold | Householder
 ati_not_in_gold | Indras
 ati_not_in_gold | Kapilavatthu Sakyans
 ati_not_in_gold | Kosalan
 ati_not_in_gold | Kuru people
 ati_not_in_gold | Maaras
 ati_not_in_gold | Moriyas
 ati_not_in_gold | Māras
 ati_not_in_gold | Nimmanarati devas
 ati_not_in_gold | Noble disciple
 ati_not_in_gold | Noble ones
 ati_not_in_gold | Nobles
 ati_not_in_gold | Paccekabuddha
 ati_not_in_gold | Paragas
 ati_not_in_gold | Paranimmitavasavatti devas
 ati_not_in_gold | Pupils
 ati_not_in_gold | Pure Abodes
 ati_not_in_gold | Radiant Devas
 ati_not_in_gold | Sahabhu devas
 ati_not_in_gold | Sakyan contemplatives
 ati_not_in_gold | Sidari
 ati_not_in_gold | Sisters
 ati_not_in_gold | Sumbhas
 ati_not_in_gold | Sunaparantans
 ati_not_in_gold | Suttantas
 ati_not_in_gold | Tathāgatas
 ati_not_in_gold | Thirty-three devas
 ati_not_in_gold | Thirty-three gods
 ati_not_in_gold | Tusita devas
 ati_not_in_gold | Udaññans
 ati_not_in_gold | Vajjian
 ati_not_in_gold | Vasitthas
 ati_not_in_gold | Vipassi
 ati_not_in_gold | Wanderer
 ati_not_in_gold | Wanderers
 ati_not_in_gold | Yama gods
 ati_not_in_gold | Yāma devas
 ati_not_in_gold | bhikkhu
 ati_not_in_gold | bhikkhu Kaccayanagotta
 ati_not_in_gold | bhikkhu examines
 ati_not_in_gold | bhikkhu-friends
 ati_not_in_gold | commander
 ati_not_in_gold | deva hosts
 ati_not_in_gold | deva-son
 ati_not_in_gold | female probationers
 ati_not_in_gold | four Great Kings
 ati_not_in_gold | guardians
 ati_not_in_gold | kshatriya
 ati_not_in_gold | kshatriyas
 ati_not_in_gold | male lay follower
 ati_not_in_gold | male lay-followers
 ati_not_in_gold | neutral ones
 ati_not_in_gold | niganthas
 ati_not_in_gold | noble follower
 ati_not_in_gold | noble one
 ati_not_in_gold | noble-warriors
 ati_not_in_gold | nāga
 ati_not_in_gold | nāgas
 ati_not_in_gold | petas
 ati_not_in_gold | venerable Niganthas
 ati_not_in_gold | venerable ones
 gold_not_in_ati | Anguttarapan
 gold_not_in_ati | Kalakañjas
 gold_not_in_ati | Licchavi
 gold_not_in_ati | Sire
 gold_not_in_ati | arahant monks
 gold_not_in_ati | brahmanas
 gold_not_in_ati | deities
 gold_not_in_ati | deva kings
 gold_not_in_ati | retinue of Brahma
(83 rows)

