label	surface	norm	source_file	source_kind	count_hint
NORP	Abhassara devas	abhassara devas	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Aggalava Shrine	aggalava shrine	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Ajakalāpaka	ajakalāpaka	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Ajakalāpaka [Herd-of-Goats] shrine	ajakalāpaka [herd-of-goats] shrine	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Ajita Kesakambalin	ajita kesakambalin	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Ajita	ajita	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Ajita Kesakambala	ajita kesakambala	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Ajita Kesakambali	ajita kesakambali	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
NORP	Ajivaka	ajivaka	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Ajjheya	ajjheya	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Akasa	akasa	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Akkosaka Bharadvaja	akkosaka bharadvaja	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Akkosaka	akkosaka	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Akkosa Bharadvaja	akkosa bharadvaja	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Bharadvaja	bharadvaja	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Venerable Akkosa Bharadvaja	venerable akkosa bharadvaja	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Venerable Bharadvaja	venerable bharadvaja	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
GPE	Alakamanda	alakamanda	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Kingdom of Alakamanda	kingdom of alakamanda	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Alara Kalama	alara kalama	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
