label	norm	preferred_surface	count_hint_sum	n_sources	source_files	variants
GPE	savatthi	Savatthi	421	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Savatthi
GPE	sāvatthī	Sāvatthī	136	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Sāvatthī
GPE	rajagaha	Rajagaha	125	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Rajagaha
GPE	kusinara	Kusinara	113	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Kusinara
GPE	vesali	Vesali	84	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Vesali
GPE	magadha	Magadha	76	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Magadha
GPE	kapilavatthu	Kapilavatthu	67	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Kapilavatthu
GPE	varanasi	Varanasi	43	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Varanasi
GPE	icchanangala	Icchanangala	35	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Icchanangala
GPE	kasi	Kasi	34	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Kasi
GPE	rājagaha	Rājagaha	33	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Rājagaha
GPE	kosala	Kosala	29	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Kosala
GPE	kosambi	Kosambi	28	3	graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Kosambi
GPE	thullakotthita	Thullakotthita	26	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Thullakotthita
GPE	saketa	Saketa	25	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Saketa
GPE	pataligama	Pataligama	24	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Pataligama
GPE	benares	Benares	22	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Benares
GPE	nalanda	Nalanda	20	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Nalanda
GPE	pava	Pava	20	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Pava
GPE	campa	Campa	19	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Campa
GPE	kesaputta	Kesaputta	19	6	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/add_to_GPE.txt; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Kesaputta
GPE	sala	Sala	19	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Sala
GPE	kusavati	Kusavati	18	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Kusavati
GPE	toranavatthu	Toranavatthu	17	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Toranavatthu
GPE	uruvelakappa	Uruvelakappa	17	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Uruvelakappa
GPE	alavi	Alavi	16	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Alavi
GPE	vesālī	Vesālī	16	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Vesālī
GPE	uruvela	Uruvela	15	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Uruvela
GPE	alakamanda	Alakamanda	13	6	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/add_to_GPE.txt; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Alakamanda
GPE	atthakanagara	Atthakanagara	13	6	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt	Atthakanagara
GPE	kosambī	Kosambī	12	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Kosambī
GPE	apana	Apana	11	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Apana
GPE	gayā	Gayā	11	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Gayā
GPE	kammasadhamma	Kammasadhamma	11	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Kammasadhamma
GPE	pataliputta	Pataliputta	11	6	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt	Pataliputta
