label,norm,example_surface,suggested_canonical,bucket,freq
PERSON,cunda,Cunda,,likely_missing_canonical_entity,89
PERSON,aggivessana,Aggivessana,,likely_missing_canonical_entity,85
PERSON,bhaddiya,Bhaddiya,,likely_missing_canonical_entity,54
PERSON,mahanama,Mahanama,,likely_missing_canonical_entity,52
PERSON,nagasena,Nagasena,,likely_missing_canonical_entity,49
PERSON,anuruddha,Anuruddha,,likely_missing_canonical_entity,48
PERSON,lohicca,Lohicca,,likely_missing_canonical_entity,47
PERSON,meghiya,Meghiya,,likely_missing_canonical_entity,46
PERSON,samiddhi,Samiddhi,,likely_missing_canonical_entity,46
PERSON,rahula,Rahula,,likely_missing_canonical_entity,44
PERSON,potthapada,Potthapada,,likely_missing_canonical_entity,42
PERSON,maha kassapa,Ven. Maha Kassapa,,likely_missing_canonical_entity,40
PERSON,tissa,Tissa,,likely_missing_canonical_entity,37
PERSON,punna,Punna,,likely_missing_canonical_entity,36
PERSON,khemaka,Khemaka,,likely_missing_canonical_entity,35
PERSON,arahant,Arahant,,likely_noise_or_bad_ner,31
PERSON,vaccha,Vaccha,,likely_missing_canonical_entity,31
PERSON,sir,Ven. Sir,,likely_noise_or_bad_ner,30
PERSON,brahmas,Brahmas,,likely_missing_canonical_entity,27
PERSON,nigantha nataputta,Nigantha Nataputta,,likely_missing_canonical_entity,27
LOC,brahma worlds,Brahma worlds,,likely_missing_canonical_entity,25
PERSON,kali,Kali,,likely_missing_canonical_entity,25
PERSON,noble one,Noble One,,likely_noise_or_bad_ner,25
PERSON,maha kotthita,Maha Kotthita,,likely_missing_canonical_entity,24
PERSON,tathagatas,Tathagatas,,likely_noise_or_bad_ner,22
PERSON,prince jayasena,Prince Jayasena,,likely_missing_canonical_entity,21
PERSON,vedehika,Vedehika,,likely_missing_canonical_entity,21
PERSON,godha,Godha,,likely_missing_canonical_entity,20
PERSON,kasi bharadvaja,Kasi Bharadvaja,,likely_missing_canonical_entity,20
PERSON,udayi,Udayi,,likely_missing_canonical_entity,20
PERSON,uttara,Uttara,,likely_missing_canonical_entity,20
PERSON,yamaka,Ven. Yamaka,,likely_missing_canonical_entity,20
PERSON,girimananda,Girimananda,,likely_missing_canonical_entity,19
PERSON,potaliputta,Potaliputta,,likely_missing_canonical_entity,19
PERSON,punnaka,Punnaka,,likely_missing_canonical_entity,19
PERSON,queen mallika,Queen Mallika,,likely_missing_canonical_entity,19
PERSON,bhumija,Bhumija,,likely_missing_canonical_entity,18
PERSON,malunkyaputta,Malunkyaputta,,likely_missing_canonical_entity,18
PERSON,nagita,Nagita,,likely_missing_canonical_entity,18
PERSON,vacchagotta,Vacchagotta,,likely_missing_canonical_entity,18
LOC,jeta grove,Jeta Grove,,likely_missing_canonical_entity,17
PERSON,kamabhu,Ven. Kamabhu,,likely_missing_canonical_entity,17
PERSON,sunidha,Sunidha,,likely_missing_canonical_entity,17
LOC,brahma,Brahma,,likely_missing_canonical_entity,16
PERSON,sunakkhatta,Sunakkhatta,,likely_missing_canonical_entity,16
LOC,brahma world,Brahma world,Brahma-world,likely_missing_alias_for_existing,15
LOC,game refuge at isipatana,Game Refuge at Isipatana,,likely_missing_canonical_entity,15
PERSON,kasibharadvaja,Kasibharadvaja,,likely_missing_canonical_entity,15
PERSON,kevatta,Kevatta,,likely_missing_canonical_entity,15
PERSON,mallika,Mallika,,likely_missing_canonical_entity,15
PERSON,suriya,Suriya,,likely_missing_canonical_entity,15
PERSON,vasitthas,Vasitthas,,likely_missing_canonical_entity,15
LOC,... &,... &,,likely_noise_or_bad_ner,14
LOC,eastern monastery,Eastern Monastery,,likely_missing_canonical_entity,14
LOC,palace of migara's mother,palace of Migara's mother,,likely_missing_canonical_entity,14
PERSON,fully enlightened one,Fully Enlightened One,,likely_noise_or_bad_ner,14
PERSON,one,Venerable One,,likely_noise_or_bad_ner,14
PERSON,pingiya,Pingiya,,likely_missing_canonical_entity,14
LOC,jeta wood,Jeta Wood,,likely_missing_canonical_entity,13
PERSON,dasaka,Dasaka,,likely_missing_canonical_entity,13
PERSON,tathaagata,Tathaagata,,likely_missing_canonical_entity,13
PERSON,cundaka,Cundaka,,likely_missing_canonical_entity,12
PERSON,kaccana,Kaccana,,likely_missing_canonical_entity,12
PERSON,kotthita,Kotthita,,likely_missing_canonical_entity,12
PERSON,lady vedehika,Lady Vedehika,,likely_missing_canonical_entity,12
PERSON,mahaka,Mahaka,,likely_missing_canonical_entity,12
PERSON,mettagu,Mettagu,,likely_missing_canonical_entity,12
PERSON,unrivalled one,Unrivalled One,,likely_missing_canonical_entity,12
LOC,patali village,Pāṭali Village,,likely_missing_canonical_entity,11
PERSON,aciravata,Aciravata,,likely_missing_canonical_entity,11
PERSON,assaji,Assaji,,likely_missing_canonical_entity,11
PERSON,great sage,Great Sage,,likely_missing_canonical_entity,11
PERSON,isidatta,Isidatta,,likely_missing_canonical_entity,11
PERSON,nagasamala,Nagasamala,,likely_missing_canonical_entity,11
PERSON,narada,Narada,,likely_missing_canonical_entity,11
PERSON,pavittha,Pavittha,,likely_missing_canonical_entity,11
PERSON,saavatthii,Saavatthii,,likely_missing_canonical_entity,11
PERSON,suppabuddha,Suppabuddha,,likely_missing_canonical_entity,11
PERSON,vyagghapajja,Vyagghapajja,,likely_missing_canonical_entity,11
LOC,crocodile haunt,Crocodile Haunt,,likely_missing_canonical_entity,10
LOC,deer park at bhesakala grove,Deer Park at Bhesakala Grove,,likely_missing_canonical_entity,10
LOC,nimmanarati,Nimmanarati,,likely_missing_canonical_entity,10
PERSON,kamada,Kamada,,likely_missing_canonical_entity,10
PERSON,kuvera,Kuvera,,likely_missing_canonical_entity,10
PERSON,musila,Musila,,likely_missing_canonical_entity,10
PERSON,punna mantaniputta,Punna Mantaniputta,,likely_missing_canonical_entity,10
PERSON,rama,Rama,,likely_missing_canonical_entity,10
PERSON,sage,Sage,,likely_missing_canonical_entity,10
PERSON,seeing one,Seeing One,,likely_missing_canonical_entity,10
PERSON,uddaka,Uddaka,,likely_missing_canonical_entity,10
PERSON,uggahamana,Uggahamana,,likely_missing_canonical_entity,10
PERSON,uttiya,Uttiya,,likely_missing_canonical_entity,10
PERSON,vangisa,Vangisa,,likely_missing_canonical_entity,10
PERSON,varuna,Varuna,,likely_missing_canonical_entity,10
PERSON,cala,Cala,,likely_missing_canonical_entity,9
PERSON,great seer,Great Seer,,likely_missing_canonical_entity,9
PERSON,matali,Matali,,likely_missing_canonical_entity,9
PERSON,private buddha,Private Buddha,,likely_missing_canonical_entity,9
PERSON,sangamaji,Master Saṅgāmaji,,likely_missing_canonical_entity,9
PERSON,upacala,Upacala,,likely_missing_canonical_entity,9
PERSON,uppalavanna,Uppalavanna,,likely_missing_canonical_entity,9
PERSON,vakkali,Vakkali,,likely_missing_canonical_entity,9
LOC,upavattana,Upavattana,,likely_missing_canonical_entity,8
