sutta_uid,nikaya,book_number,vagga,person_id,person_name,mention_count
an02.018.than.html,AN,18,2,670,Buddha,4
an02.018.than.html,AN,18,2,775,Ven. Ānanda,7
an02.023.than.html,AN,23,2,670,Buddha,6
an02.025.than.html,AN,25,2,670,Buddha,2
an02.031.than.html,AN,,2,670,Buddha,1
an02.033.niza.html,AN,33,2,670,Buddha,11
an02.038.than.html,AN,38,2,670,Buddha,2
an02.046.than.html,AN,46,2,670,Buddha,2
an03.015.than.html,AN,15,3,670,Buddha,2
an03.022.than.html,AN,22,3,670,Buddha,8
an03.034.than.html,AN,34,3,670,Buddha,8
an03.040.than.html,AN,40,3,670,Buddha,1
an03.051.than.html,AN,51,3,670,Buddha,5
an03.052.than.html,AN,52,3,670,Buddha,5
an03.057.than.html,AN,57,3,670,Buddha,5
an03.060.than.html,AN,60,3,670,Buddha,26
an03.060.than.html,AN,60,3,775,Ven. Ānanda,7
an03.065.soma.html,AN,65,3,670,Buddha,8
an03.065.than.html,AN,65,3,670,Buddha,9
an03.068.than.html,AN,68,3,670,Buddha,4
an03.070.than.html,AN,70,3,670,Buddha,13
an03.071.than.html,AN,71,3,670,Buddha,1
an03.071.than.html,AN,71,3,775,Ven. Ānanda,5
an03.072.than.html,AN,72,3,775,Ven. Ānanda,2
an03.073.than.html,AN,73,3,670,Buddha,8
an03.073.than.html,AN,73,3,775,Ven. Ānanda,2
an03.076.than.html,AN,76,3,670,Buddha,2
an03.076.than.html,AN,76,3,775,Ven. Ānanda,2
an03.077.than.html,AN,77,3,670,Buddha,2
an03.077.than.html,AN,77,3,775,Ven. Ānanda,2
an03.078.than.html,AN,78,3,670,Buddha,6
an03.078.than.html,AN,78,3,775,Ven. Ānanda,7
an03.083.than.html,AN,83,3,670,Buddha,2
an03.105.than.html,AN,105,3,661,Anathapindika,1
an03.105.than.html,AN,105,3,670,Buddha,2
an03.123.than.html,AN,123,3,670,Buddha,6
an03.126.than.html,AN,126,3,670,Buddha,6
an03.134.than.html,AN,134,3,670,Buddha,3
an04.001.than.html,AN,1,4,670,Buddha,6
an04.024.than.html,AN,24,4,670,Buddha,7
an04.028.than.html,AN,28,4,670,Buddha,1
an04.035.than.html,AN,35,4,670,Buddha,13
an04.036.than.html,AN,36,4,670,Buddha,5
an04.045.than.html,AN,45,4,670,Buddha,7
an04.050.than.html,AN,50,4,670,Buddha,1
an04.055.than.html,AN,55,4,670,Buddha,6
an04.062.than.html,AN,62,4,661,Anathapindika,1
an04.062.than.html,AN,62,4,670,Buddha,2
an04.067.piya.html,AN,67,4,670,Buddha,4
an04.067.than.html,AN,67,4,670,Buddha,3
an04.079.than.html,AN,79,4,670,Buddha,2
an04.079.than.html,AN,79,4,773,Ven. Sāriputta,2
an04.111.than.html,AN,111,4,670,Buddha,12
an04.123.than.html,AN,123,4,670,Buddha,4
an04.125.than.html,AN,125,4,670,Buddha,4
an04.159.than.html,AN,159,4,775,Ven. Ānanda,15
an04.170.than.html,AN,170,4,775,Ven. Ānanda,2
an04.174.than.html,AN,174,4,773,Ven. Sāriputta,5
an04.179.than.html,AN,179,4,773,Ven. Sāriputta,2
an04.179.than.html,AN,179,4,775,Ven. Ānanda,3
an04.183.than.html,AN,183,4,670,Buddha,5
an04.184.than.html,AN,184,4,670,Buddha,8
an04.199.than.html,AN,199,4,670,Buddha,1
an05.002.than.html,AN,2,5,670,Buddha,3
an05.028.than.html,AN,28,5,670,Buddha,4
an05.030.than.html,AN,30,5,670,Buddha,12
an05.034.than.html,AN,34,5,670,Buddha,8
an05.041.than.html,AN,41,5,661,Anathapindika,1
an05.041.than.html,AN,41,5,670,Buddha,2
an05.043.than.html,AN,43,5,661,Anathapindika,1
an05.043.than.html,AN,43,5,670,Buddha,2
an05.049.hekh.html,AN,49,5,696,King Pasenadi Kosala,1
an05.049.than.html,AN,49,5,670,Buddha,3
an05.049.than.html,AN,49,5,696,King Pasenadi Kosala,2
an05.051.than.html,AN,51,5,670,Buddha,3
an05.053.than.html,AN,53,5,670,Buddha,4
an05.073.than.html,AN,73,5,670,Buddha,2
an05.076.than.html,AN,76,5,670,Buddha,5
an05.079.than.html,AN,79,5,670,Buddha,1
an05.114.than.html,AN,114,5,670,Buddha,2
an05.114.than.html,AN,114,5,775,Ven. Ānanda,2
an05.121.than.html,AN,121,5,670,Buddha,1
an05.129.than.html,AN,129,5,670,Buddha,1
an05.140.than.html,AN,140,5,670,Buddha,1
an05.159.than.html,AN,159,5,670,Buddha,4
an05.159.than.html,AN,159,5,775,Ven. Ānanda,3
an05.176.than.html,AN,176,5,661,Anathapindika,1
an05.176.than.html,AN,176,5,670,Buddha,5
an05.176.than.html,AN,176,5,773,Ven. Sāriputta,1
an05.179.than.html,AN,179,5,661,Anathapindika,1
an05.179.than.html,AN,179,5,670,Buddha,8
an05.179.than.html,AN,179,5,773,Ven. Sāriputta,3
an05.180.than.html,AN,180,5,670,Buddha,14
an05.180.than.html,AN,180,5,776,Ven. Mahā Kassapa,6
an05.180.than.html,AN,180,5,775,Ven. Ānanda,3
an05.196.than.html,AN,196,5,670,Buddha,20
an06.013.than.html,AN,13,6,670,Buddha,18
an06.016.than.html,AN,16,6,670,Buddha,22
an06.019.than.html,AN,19,6,670,Buddha,19
an06.020.than.html,AN,20,6,670,Buddha,3
an06.037.than.html,AN,37,6,670,Buddha,2
an06.037.than.html,AN,37,6,766,Ven. Moggallana,3
an06.037.than.html,AN,37,6,777,Ven. Nandā,3
an06.037.than.html,AN,37,6,773,Ven. Sāriputta,3
an06.038.niza.html,AN,38,6,670,Buddha,10
an06.041.than.html,AN,41,6,670,Buddha,1
an06.042.than.html,AN,42,6,670,Buddha,12
an06.047.than.html,AN,47,6,670,Buddha,5
an06.049.than.html,AN,49,6,670,Buddha,11
an06.051.than.html,AN,51,6,773,Ven. Sāriputta,3
an06.051.than.html,AN,51,6,775,Ven. Ānanda,12
an06.055.than.html,AN,55,6,670,Buddha,11
an06.055.than.html,AN,55,6,771,Ven. Sona,1
an06.063.than.html,AN,63,6,670,Buddha,1
an06.087.than.html,AN,87,6,670,Buddha,2
an06.088.than.html,AN,88,6,670,Buddha,2
an06.103.than.html,AN,103,6,670,Buddha,1
an07.006.than.html,AN,6,7,670,Buddha,3
an07.007.than.html,AN,7,7,670,Buddha,2
an07.021.than.html,AN,21,7,670,Buddha,2
an07.031.than.html,AN,31,7,670,Buddha,7
an07.032.than.html,AN,32,7,670,Buddha,2
an07.033.than.html,AN,33,7,670,Buddha,1
an07.034.than.html,AN,34,7,670,Buddha,8
an07.048.than.html,AN,48,7,670,Buddha,1
an07.049.than.html,AN,49,7,657,Akkosaka Bharadvaja,2
an07.049.than.html,AN,49,7,670,Buddha,6
an07.049.than.html,AN,49,7,776,Ven. Mahā Kassapa,2
an07.049.than.html,AN,49,7,773,Ven. Sāriputta,6
an07.051.than.html,AN,51,7,670,Buddha,18
an07.056.than.html,AN,56,7,670,Buddha,12
an07.058.than.html,AN,58,7,670,Buddha,4
an07.058.than.html,AN,58,7,766,Ven. Moggallana,12
an07.063.than.html,AN,63,7,670,Buddha,2
an07.063.than.html,AN,63,7,703,Mara,2
an07.068.yaho.html,AN,68,7,670,Buddha,5
an07.079.than.html,AN,79,7,670,Buddha,6
an08.002.than.html,AN,2,8,670,Buddha,4
an08.006.than.html,AN,6,8,670,Buddha,4
an08.007.than.html,AN,7,8,670,Buddha,1
an08.008.than.html,AN,8,8,670,Buddha,5
