verse_id,verse_identifier,entity_id,entity_canonical,entity_type,mention,normalized,start_pos,end_pos
16398,an02.018.than.html,775,Ven. Ānanda,PERSON,Ven. Ananda,ven. ananda,5,16
16398,an02.018.than.html,670,Buddha,PERSON,Blessed One,blessed one,29,40
16398,an02.018.than.html,670,Buddha,PERSON,Blessed One,blessed one,130,141
16398,an02.018.than.html,775,Ven. Ānanda,PERSON,Ananda,ananda,177,183
16399,an02.018.than.html,670,Buddha,PERSON,Blessed One,blessed one,15,26
16400,an02.018.than.html,775,Ven. Ānanda,PERSON,Ananda,ananda,28,34
16400,an02.018.than.html,775,Ven. Ānanda,PERSON,Ananda,ananda,499,505
16401,an02.018.than.html,775,Ven. Ānanda,PERSON,Ananda,ananda,21,27
16402,an02.018.than.html,670,Buddha,PERSON,Blessed One,blessed one,15,26
16403,an02.018.than.html,775,Ven. Ānanda,PERSON,Ananda,ananda,28,34
16403,an02.018.than.html,775,Ven. Ānanda,PERSON,Ananda,ananda,471,477
16408,an02.023.than.html,670,Buddha,PERSON,Tathagata,tathagata,29,38
16408,an02.023.than.html,670,Buddha,PERSON,Tathagata,tathagata,102,111
16408,an02.023.than.html,670,Buddha,PERSON,Tathagata,tathagata,137,146
16408,an02.023.than.html,670,Buddha,PERSON,Tathagata,tathagata,199,208
16408,an02.023.than.html,670,Buddha,PERSON,Tathagata,tathagata,238,247
16408,an02.023.than.html,670,Buddha,PERSON,Tathagata,tathagata,279,288
16409,an02.025.than.html,670,Buddha,PERSON,Tathagata,tathagata,29,38
16409,an02.025.than.html,670,Buddha,PERSON,Tathagata,tathagata,321,330
16416,an02.031.than.html,670,Buddha,PERSON,Blessed One,blessed one,4,15
16418,an02.033.niza.html,670,Buddha,PERSON,Blessed One,blessed one,38,49
16418,an02.033.niza.html,670,Buddha,PERSON,Blessed One,blessed one,73,84
16418,an02.033.niza.html,670,Buddha,PERSON,Blessed One,blessed one,241,252
16419,an02.033.niza.html,670,Buddha,PERSON,Venerable Gotama,venerable gotama,14,30
16421,an02.033.niza.html,670,Buddha,PERSON,Venerable Gotama,venerable gotama,23,39
16424,an02.033.niza.html,670,Buddha,PERSON,Venerable Gotama,venerable gotama,8,24
16424,an02.033.niza.html,670,Buddha,PERSON,Venerable Gotama,venerable gotama,34,50
16424,an02.033.niza.html,670,Buddha,PERSON,Venerable Gotama,venerable gotama,52,68
16424,an02.033.niza.html,670,Buddha,PERSON,Venerable Gotama,venerable gotama,329,345
16424,an02.033.niza.html,670,Buddha,PERSON,Venerable Gotama,venerable gotama,398,414
16424,an02.033.niza.html,670,Buddha,PERSON,Venerable Gotama,venerable gotama,535,551
