label,id,pattern_text,pattern_json
PERSON,,aggivessana,"[{""IS_TITLE"": true, ""LOWER"": ""aggivessana""}]"
PERSON,,arittha,"[{""IS_TITLE"": true, ""LOWER"": ""arittha""}]"
PERSON,,bharadvaja,"[{""IS_TITLE"": true, ""LOWER"": ""bharadvaja""}]"
PERSON,,blessed one,"[{""IS_TITLE"": true, ""LOWER"": ""blessed""}, {""IS_TITLE"": true, ""LOWER"": ""one""}]"
PERSON,,cunda,"[{""IS_TITLE"": true, ""LOWER"": ""cunda""}]"
PERSON,,gotama,"[{""IS_TITLE"": true, ""LOWER"": ""gotama""}]"
PERSON,,jatila bhagika,"[{""IS_TITLE"": true, ""LOWER"": ""jatila""}, {""IS_TITLE"": true, ""LOWER"": ""bhagika""}]"
PERSON,,kevatta,"[{""IS_TITLE"": true, ""LOWER"": ""kevatta""}]"
PERSON,,king ajatasattu/ajātasattu of magadha,"[{""IS_TITLE"": true, ""LOWER"": ""king""}, {""IS_TITLE"": true, ""LOWER"": {""IN"": [""ajatasattu"", ""ajātasattu""]}}, {""LOWER"": ""of""}, {""IS_TITLE"": true, ""LOWER"": ""magadha""}]"
PERSON,,king ajatasattu/ajātasattu,"[{""IS_TITLE"": true, ""LOWER"": ""king""}, {""IS_TITLE"": true, ""LOWER"": {""IN"": [""ajatasattu"", ""ajātasattu""]}}]"
PERSON,,kokanuda,"[{""IS_TITLE"": true, ""LOWER"": ""kokanuda""}]"
PERSON,,lohicca,"[{""IS_TITLE"": true, ""LOWER"": ""lohicca""}]"
PERSON,,mahaka,"[{""IS_TITLE"": true, ""LOWER"": ""mahaka""}]"
PERSON,,nakula,"[{""IS_TITLE"": true, ""LOWER"": ""nakula""}]"
PERSON,,nakula's son/daughter/wife/mother/father/husband,"[{""IS_TITLE"": true, ""LOWER"": ""nakula's""}, {""LOWER"": {""IN"": [""son"", ""daughter"", ""wife"", ""mother"", ""father"", ""husband""]}}]"
PERSON,,uttara,"[{""IS_TITLE"": true, ""LOWER"": ""uttara""}]"
PERSON,,parasiri,"[{""IS_TITLE"": true, ""LOWER"": ""parasiri""}]"
PERSON,,queen videha,"[{""IS_TITLE"": true, ""LOWER"": ""queen""}, {""IS_TITLE"": true, ""LOWER"": ""videha""}]"
PERSON,,suppabuddha,"[{""IS_TITLE"": true, ""LOWER"": ""suppabuddha""}]"
PERSON,,sutavan,"[{""IS_TITLE"": true, ""LOWER"": ""sutavan""}]"
PERSON,,tagarasikhin,"[{""IS_TITLE"": true, ""LOWER"": ""tagarasikhin""}]"
PERSON,,tapussa,"[{""IS_TITLE"": true, ""LOWER"": ""tapussa""}]"
PERSON,,tissa,"[{""IS_TITLE"": true, ""LOWER"": ""tissa""}]"
PERSON,,udayin,"[{""IS_TITLE"": true, ""LOWER"": ""udayin""}]"
PERSON,,bhante,"[{""IS_TITLE"": true, ""LOWER"": ""bhante""}]"
PERSON,,ananda/ānanda,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""ananda"", ""ānanda""]}}]"
PERSON,,anathapindika/anāthapiṇḍika,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""anathapindika"", ""anāthapiṇḍika""]}}]"
PERSON,,dhanañjanin/dhananjanin,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""dhanañjanin"", ""dhananjanin""]}}]"
PERSON,,jivaka/jīvaka komarabhacca/komārabhacca,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""jivaka"", ""jīvaka""]}}, {""IS_TITLE"": true, ""LOWER"": {""IN"": [""komarabhacca"", ""komārabhacca""]}}]"
PERSON,,kesi/kesī,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""kesi"", ""kesī""]}}]"
PERSON,,kesi/kesī the{?} horsetrainer/horse-trainer,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""kesi"", ""kesī""]}}, {""LOWER"": ""the"", ""OP"": ""?""}, {""LOWER"": {""IN"": [""horsetrainer"", ""horse-trainer""]}}]"
