text	count
Jeta's Grove	33
Anāthapiṇḍika's monastery	12
Bamboo Grove	12
Anathapindika's monastery	11
Thirty-three	9
Upavattana	9
Brahma-world	7
Banyan Park	5
Game Refuge at Isipatana	5
Ganges	5
Great Wood	5
Pāvāla shrine	5
Sala Grove	5
Vulture's Peak	5
river Ganges	5
Ambapali's grove	4
Bahuka River	4
Deer Park at Isipatana	4
Gabled Hall	4
Great Forest	4
Jeta Grove	4
Jetavana	4
Migacira	4
Mount Vepulla	4
River Vaggamudā	4
Squirrels' Sanctuary	4
Aggalava Shrine	3
Ananda shrine	3
Brahma worlds	3
Deer Park	3
Gotamaka shrine	3
Grove of the Blind	3
Hot Springs	3
Kukkata Monastery	3
Sattamba shrine	3
Udena shrine	3
Vulture Peak Mountain	3
Anathapindika 's monastery	2
Anathpindika's monastery	2
Bahuka	2
Banyan Grove	2
Black Rock of Isigili	2
Blind Men's Grove	2
Brahma world	2
Catummaharajika	2
Cool Forest	2
Crocodile Haunt	2
Dakkhinagiri	2
Eastern clime	2
Ganges River	2
Gayā Head	2
Ghosita's Park	2
Ghosita's monastery	2
Gunda Forest	2
Hall of the Gabled Pavilion	2
Himalayas	2
Hiraññavati	2
Hiraññavati River	2
Jivaka's Mango Grove	2
Kimikālā River	2
Kosala country	2
Kosalan country	2
Kukuṭa River	2
Mahavana	2
Makuta-bandhana	2
Mallan sal grove	2
Mango Orchard	2
ManySon shrine	2
Nerañjara	2
Niraya -hell	2
Osprey's Haunt	2
Peaked Roofed Pavilion	2
Robbers' Cliff	2
Sankheyyaka Mountain	2
Sattapanni Cave	2
Serpents' Pool	2
Sheer-face Peak	2
Small Nook	2
Squirrels' Feeding-ground	2
Suddhavasa	2
Sāranda shrine	2
Tapoda Grove	2
Tapodaa Park	2
Thirty-Three	2
Tusita	2
Vebhara Mountain	2
Vehapphala	2
Vepulla mountain	2
Vepulla's Mountain	2
Western lands	2
Yamuna	2
brahma world	2
deva realm	2
heaven of the Thirty-three	2
Abhassara	1
Aciravati	1
Aciravatī	1
Ajakalāpaka [Herd-of-Goats] shrine	1
Akanittha	1
Ambāṭakavana	1
Anaathapi.n.dika's monastery	1
Anathapindika's Monastery	1
Anathapindika's park	1
Anāthapiṇḍika's park	1
Appamana subha	1
Appamanabha	1
Asura	1
Atappa	1
Aviha	1
Bahumati	1
Bahuputta	1
Balava-abyss	1
Bamboo-Grove Monastery	1
Beautifully Lustrous Devas	1
Bhagalavati	1
Bhesakala Grove	1
Black Forest	1
Black Rock on	1
Blind Man's Grove	1
Brahma Parisajja	1
Brahma Purohita	1
Brick Hall	1
Calika Hill	1
Capala	1
Cool Wood	1
Cālikā Mountain.	1
Deer Park at Bhesakala Grove	1
Eastern Monastery	1
Forest Hut	1
Gaggara Lake	1
Game Refuge	1
Gijjhakuta mountain	1
Goatherd's Banyan Tree	1
Gotama Ford	1
Gotama Gate	1
Gotamaka	1
Gotamaka Shrine	1
Heaven of the Thirty-three	1
High Divinity	1
High Divinity's retinue	1
Himalayan district	1
Isigili	1
Jeta Forest	1
Jeta Wood	1
Jetavana monastery	1
Kakuttha River	1
Kakuttha's river	1
Kuru Country	1
Kuru country	1
Lake Nabhasa	1
Licchavi-son	1
Maddakucchi Deer Reserve	1
Maha-vana	1
Mahi	1
Mahisavatthu	1
Mahī	1
Mango Grove.	1
Migacira pleasure garden	1
Migara's mother's mansion	1
Mount Sata	1
Nandana grove	1
Nerañjara River	1
Nimmanarati	1
Niraya	1
Niraya hell	1
Pandava mountain	1
Paranimmita-vasavatti	1
Paranimmitavasavatti devas	1
Parittabha	1
Parittasubha	1
Pavarika 's mango grove	1
Pavarika Mango Grove	1
Pavatta Mountain	1
Payaga	1
Pepper Tree Cave	1
Pipphali Cave	1
Plum-Mango Grove	1
Pure Abodes	1
Realm of the Thirty-three	1
Retinue of High Divinity	1
River Yamuna	1
Sal Tree Grove	1
Sarabhu	1
Sarabhū	1
Sarandada	1
Sarasvati	1
Sattambaka	1
Simbali Forest	1
Squirrel's Feeding Place	1
Squirrels' Feeding-Place	1
Subhaga forest	1
Subhakinna	1
Sudassa	1
Sudassi	1
Sunaparanta country	1
Sundarika	1
Sword-leaf Forest	1
Tandulapala Gate	1
Tavatimsa	1
Tushita heaven	1
Udena	1
Very Blessed Grove	1
Vessamitta mountain	1
Vultures' Peak	1
Wild Mango Grove	1
World of High Divinity	1
Yama	1
Yamunā	1
brahma-world	1
lake Nabhasa	1
palace of Migara 's mother	1
pure abodes	1
river Hiraññavati	1
squirrels' feeding place	1
squirrels' sanctuary	1
Ābhassara Brahma-world	1
